,Subject,Condition,Block,Events
120,50JOC,Think,1-2,1.8372093023255813
121,50JOC,Think,3-4,0.9736842105263158
122,50JOC,Think,5-6,0.8378378378378378
123,50JOC,Think,7-8,0.5
124,50JOC,No-Think,1-2,1.8
125,50JOC,No-Think,3-4,1.0
126,50JOC,No-Think,5-6,0.6578947368421053
127,50JOC,No-Think,7-8,0.8823529411764706
128,52PFA,Think,1-2,0.2826086956521739
129,52PFA,Think,3-4,0.13333333333333333
130,52PFA,Think,5-6,0.36363636363636365
131,52PFA,Think,7-8,0.21428571428571427
132,52PFA,No-Think,1-2,0.2916666666666667
133,52PFA,No-Think,3-4,0.6875
134,52PFA,No-Think,5-6,0.1702127659574468
135,52PFA,No-Think,7-8,0.2222222222222222
136,53SMA,Think,1-2,1.0
137,53SMA,Think,3-4,1.0
138,53SMA,Think,5-6,0.723404255319149
139,53SMA,Think,7-8,1.4680851063829787
140,53SMA,No-Think,1-2,1.1063829787234043
141,53SMA,No-Think,3-4,0.8409090909090909
142,53SMA,No-Think,5-6,0.9361702127659575
143,53SMA,No-Think,7-8,1.25
144,55MNI,Think,1-2,0.5319148936170213
145,55MNI,Think,3-4,0.4782608695652174
146,55MNI,Think,5-6,0.23809523809523808
147,55MNI,Think,7-8,0.5135135135135135
148,55MNI,No-Think,1-2,0.6956521739130435
149,55MNI,No-Think,3-4,0.48936170212765956
150,55MNI,No-Think,5-6,0.5
151,55MNI,No-Think,7-8,0.32558139534883723
152,56BCL,Think,1-2,1.6041666666666667
153,56BCL,Think,3-4,1.391304347826087
154,56BCL,Think,5-6,0.6428571428571429
155,56BCL,Think,7-8,0.4523809523809524
156,56BCL,No-Think,1-2,1.6382978723404256
157,56BCL,No-Think,3-4,1.0434782608695652
158,56BCL,No-Think,5-6,0.6666666666666666
159,56BCL,No-Think,7-8,0.3902439024390244
160,57NCO,Think,1-2,0.23404255319148937
161,57NCO,Think,3-4,0.14583333333333334
162,57NCO,Think,5-6,0.06382978723404255
163,57NCO,Think,7-8,0.1111111111111111
164,57NCO,No-Think,1-2,0.28888888888888886
165,57NCO,No-Think,3-4,0.18181818181818182
166,57NCO,No-Think,5-6,0.0
167,57NCO,No-Think,7-8,0.0
168,58BAN,Think,1-2,0.8958333333333334
169,58BAN,Think,3-4,0.5531914893617021
170,58BAN,Think,5-6,0.625
171,58BAN,Think,7-8,0.3488372093023256
172,58BAN,No-Think,1-2,0.7083333333333334
173,58BAN,No-Think,3-4,0.5319148936170213
174,58BAN,No-Think,5-6,0.4888888888888889
175,58BAN,No-Think,7-8,0.3404255319148936
176,59DIN,Think,1-2,0.2391304347826087
177,59DIN,Think,3-4,0.41304347826086957
178,59DIN,Think,5-6,0.3111111111111111
179,59DIN,Think,7-8,0.5777777777777777
180,59DIN,No-Think,1-2,0.5416666666666666
181,59DIN,No-Think,3-4,0.2916666666666667
182,59DIN,No-Think,5-6,0.3125
183,59DIN,No-Think,7-8,0.3958333333333333
184,60CAN,Think,1-2,0.8157894736842105
185,60CAN,Think,3-4,0.6052631578947368
186,60CAN,Think,5-6,0.5
187,60CAN,Think,7-8,0.8275862068965517
188,60CAN,No-Think,1-2,1.3333333333333333
189,60CAN,No-Think,3-4,0.8823529411764706
190,60CAN,No-Think,5-6,0.4117647058823529
191,60CAN,No-Think,7-8,0.7931034482758621
