,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
91,91,No-Think,Neutral,526971,Faces_292_h.jpg,3,2
92,92,Think,Emotion,531907,Objects_154_h.jpg,3,2
93,93,Think,Neutral,536843,People_091_h.jpg,3,2
94,94,No-Think,Neutral,541744,People_249_h.jpg,3,2
95,95,No-Think,Neutral,547279,Faces_123_h.jpg,1,2
96,96,Think,Emotion,552065,Animals_039_h.jpg,3,3
98,99,No-Think,Neutral,849564,Faces_123_h.jpg,1,3
99,100,Think,Emotion,854699,Objects_154_h.jpg,3,3
100,101,Think,Emotion,859668,People_220_h.jpg,3,3
101,102,Think,Neutral,864569,Animals_213_h.jpg,3,3
102,103,No-Think,Emotion,869488,People_019_v.jpg,1,3
103,104,No-Think,Neutral,874857,People_164_h.jpg,3,3
104,105,Think,Emotion,880310,Objects_023_v.jpg,3,3
105,106,Think,Neutral,885278,People_179_h.jpg,3,3
106,107,Think,Emotion,890329,Objects_011_h.jpg,3,3
107,108,No-Think,Neutral,895249,Animals_105_h.jpg,3,3
108,109,Think,Emotion,901251,Animals_078_h.jpg,3,3
109,110,No-Think,Neutral,906052,Animals_043_h.jpg,3,3
110,111,Think,Neutral,912071,People_091_h.jpg,3,3
111,112,Think,Emotion,916906,Objects_088_h.jpg,3,3
112,113,Think,Neutral,921675,Objects_049_h.jpg,3,3
113,114,No-Think,Emotion,926377,Objects_006_h.jpg,3,3
114,115,Think,Neutral,932346,Objects_242_h.jpg,3,3
115,116,No-Think,Neutral,937481,Faces_292_h.jpg,3,3
116,117,No-Think,Emotion,942783,Objects_010_h.jpg,1,3
117,118,Think,Emotion,947802,People_077_v.jpg,1,3
118,119,Think,Neutral,953037,People_148_h.jpg,3,3
119,120,No-Think,Neutral,958106,Faces_306_v.jpg,3,3
120,121,Think,Neutral,963124,People_097_h.jpg,3,3
121,122,Think,Neutral,968177,Animals_132_h.jpg,3,3
122,123,No-Think,Neutral,973028,People_035_h.jpg,3,3
123,124,No-Think,Neutral,978064,Objects_029_h.jpg,3,3
124,125,Think,Emotion,982882,People_209_v.jpg,3,3
125,126,No-Think,Emotion,987718,People_090_v.jpg,3,3
126,127,No-Think,Emotion,992619,Faces_156_h.jpg,3,3
127,128,No-Think,Neutral,999222,Objects_200_h.jpg,3,3
128,129,No-Think,Neutral,1003890,People_249_h.jpg,3,3
129,130,Think,Neutral,1008809,Faces_211_h.jpg,1,3
130,131,Think,Neutral,1014478,Animals_097_h.jpg,3,3
131,132,Think,Emotion,1019146,People_217_h.jpg,3,3
132,133,No-Think,Emotion,1024065,Objects_022_h.jpg,3,3
133,134,Think,Emotion,1030051,Animals_041_h.jpg,3,3
134,135,No-Think,Emotion,1034870,People_204_v.jpg,3,3
135,136,No-Think,Neutral,1041488,People_095_h.jpg,3,3
137,138,Think,Neutral,1051759,Faces_219_v.jpg,3,3
138,139,Think,Emotion,1056678,Objects_126_h.jpg,3,3
139,140,No-Think,Emotion,1061446,Faces_368_h.jpg,3,3
140,141,No-Think,Emotion,1066498,Animals_008_v.jpg,3,3
142,143,No-Think,Emotion,1077352,Animals_065_h.jpg,3,3
143,144,No-Think,Emotion,1082905,People_205_v.jpg,3,3
144,145,Think,Emotion,1087773,Objects_023_v.jpg,3,4
145,146,No-Think,Neutral,1092725,People_095_h.jpg,3,4
146,147,Think,Neutral,1097727,Animals_132_h.jpg,3,4
147,148,Think,Emotion,1102829,People_209_v.jpg,3,4
148,149,Think,Neutral,1107681,People_148_h.jpg,3,4
149,150,No-Think,Emotion,1112483,Animals_065_h.jpg,3,4
150,151,Think,Emotion,1117168,Animals_041_h.jpg,3,4
151,152,No-Think,Neutral,1122270,Objects_200_h.jpg,1,4
152,153,No-Think,Neutral,1127622,Objects_029_h.jpg,1,4
153,154,Think,Neutral,1132658,Faces_219_v.jpg,1,4
154,155,Think,Emotion,1139493,Objects_154_h.jpg,3,4
155,156,Think,Emotion,1144562,Animals_078_h.jpg,3,4
156,157,No-Think,Emotion,1149464,People_205_v.jpg,3,4
157,158,No-Think,Emotion,1154716,People_204_v.jpg,3,4
158,159,Think,Neutral,1159701,Animals_213_h.jpg,3,4
159,160,Think,Neutral,1164670,Animals_097_h.jpg,3,4
160,161,Think,Emotion,1169355,Objects_126_h.jpg,3,4
161,162,No-Think,Emotion,1174223,Objects_006_h.jpg,1,4
162,163,Think,Emotion,1179425,People_220_h.jpg,3,4
163,164,No-Think,Neutral,1184377,Animals_105_h.jpg,3,4
164,165,Think,Emotion,1189280,Animals_039_h.jpg,3,4
165,166,Think,Emotion,1194298,Objects_088_h.jpg,3,4
166,167,No-Think,Emotion,1199183,Objects_022_h.jpg,3,4
167,168,No-Think,Emotion,1204619,Animals_008_v.jpg,3,4
168,169,Think,Neutral,1210137,People_091_h.jpg,3,4
169,170,No-Think,Neutral,1215189,Animals_088_h.jpg,3,4
171,172,Think,Neutral,1224926,People_179_h.jpg,3,4
172,173,No-Think,Neutral,1230445,Faces_306_v.jpg,3,4
173,174,No-Think,Neutral,1235114,People_035_h.jpg,3,4
174,175,Think,Emotion,1240182,People_217_h.jpg,3,4
175,176,Think,Emotion,1245301,Objects_011_h.jpg,3,4
176,177,No-Think,Neutral,1250270,Faces_292_h.jpg,1,4
177,178,No-Think,Emotion,1255488,Objects_010_h.jpg,1,4
178,179,Think,Neutral,1260624,Faces_211_h.jpg,1,4
179,180,Think,Emotion,1265776,People_077_v.jpg,3,4
180,181,No-Think,Emotion,1270811,People_019_v.jpg,1,4
181,182,No-Think,Emotion,1276663,People_090_v.jpg,3,4
182,183,No-Think,Emotion,1281732,Faces_368_h.jpg,3,4
184,185,No-Think,Neutral,1291220,People_164_h.jpg,3,4
185,186,No-Think,Emotion,1297121,Faces_156_h.jpg,3,4
186,187,Think,Neutral,1303640,Objects_049_h.jpg,3,4
187,188,Think,Neutral,1308592,People_097_h.jpg,3,4
188,189,No-Think,Neutral,1313578,Animals_043_h.jpg,3,4
189,190,Think,Neutral,1318713,Objects_242_h.jpg,3,4
190,191,No-Think,Neutral,1324065,Faces_123_h.jpg,3,4
191,192,No-Think,Neutral,1329434,People_249_h.jpg,3,4
192,193,Think,Emotion,1334420,Animals_078_h.jpg,3,5
193,194,Think,Neutral,1339204,People_179_h.jpg,3,5
194,196,No-Think,Neutral,1390624,Animals_105_h.jpg,3,5
195,197,No-Think,Emotion,1395443,Animals_008_v.jpg,3,5
196,198,No-Think,Emotion,1400745,People_205_v.jpg,3,5
197,199,Think,Neutral,1405597,Animals_213_h.jpg,3,5
198,200,Think,Emotion,1410365,People_220_h.jpg,3,5
199,201,No-Think,Neutral,1415300,People_249_h.jpg,1,5
200,202,Think,Neutral,1420252,People_091_h.jpg,3,5
201,203,Think,Emotion,1425171,Animals_041_h.jpg,3,5
202,204,No-Think,Neutral,1430823,Animals_088_h.jpg,3,5
203,205,No-Think,Neutral,1435809,People_035_h.jpg,3,5
204,206,No-Think,Neutral,1440477,Objects_029_h.jpg,3,5
205,207,Think,Neutral,1445696,Faces_219_v.jpg,3,5
206,208,Think,Emotion,1450414,People_077_v.jpg,3,5
207,209,Think,Neutral,1455133,People_097_h.jpg,3,5
208,210,Think,Emotion,1460568,People_209_v.jpg,3,5
209,211,Think,Neutral,1465537,Animals_132_h.jpg,3,5
210,212,No-Think,Emotion,1470722,People_204_v.jpg,3,5
211,213,Think,Emotion,1475624,Objects_088_h.jpg,3,5
212,214,No-Think,Emotion,1480776,Animals_065_h.jpg,3,5
213,215,No-Think,Emotion,1485778,Objects_010_h.jpg,1,5
214,216,No-Think,Emotion,1490380,People_090_v.jpg,3,5
215,217,Think,Neutral,1496982,People_148_h.jpg,3,5
216,218,No-Think,Emotion,1502118,Faces_368_h.jpg,3,5
217,219,No-Think,Neutral,1507336,Animals_043_h.jpg,1,5
218,220,Think,Emotion,1512438,Objects_023_v.jpg,3,5
219,221,No-Think,Neutral,1517740,Faces_123_h.jpg,1,5
221,223,No-Think,Neutral,1528128,People_095_h.jpg,3,5
222,224,No-Think,Neutral,1533096,Faces_292_h.jpg,3,5
223,225,Think,Emotion,1538648,People_217_h.jpg,3,5
224,226,No-Think,Emotion,1543800,People_019_v.jpg,3,5
225,227,Think,Emotion,1548886,Objects_011_h.jpg,3,5
226,228,No-Think,Neutral,1553738,People_164_h.jpg,3,5
227,229,Think,Neutral,1558923,Animals_097_h.jpg,3,5
228,230,Think,Emotion,1563842,Objects_126_h.jpg,3,5
229,231,No-Think,Neutral,1568777,Faces_306_v.jpg,3,5
230,232,Think,Emotion,1573962,Animals_039_h.jpg,3,5
231,233,No-Think,Emotion,1578781,Faces_156_h.jpg,3,5
232,234,No-Think,Emotion,1584083,Objects_006_h.jpg,1,5
234,236,Think,Neutral,1593837,Faces_211_h.jpg,3,5
235,237,Think,Emotion,1598756,Objects_154_h.jpg,3,5
236,238,Think,Neutral,1603874,Objects_049_h.jpg,3,5
237,239,No-Think,Neutral,1609143,Objects_200_h.jpg,3,5
238,240,No-Think,Emotion,1614195,Objects_022_h.jpg,3,5
239,241,Think,Neutral,1620864,Objects_242_h.jpg,3,5
241,243,Think,Neutral,1630384,Faces_219_v.jpg,3,6
242,244,Think,Neutral,1635686,Objects_049_h.jpg,3,6
243,245,No-Think,Emotion,1641238,Objects_010_h.jpg,1,6
244,246,No-Think,Neutral,1646090,Faces_292_h.jpg,3,6
245,247,Think,Neutral,1650976,People_179_h.jpg,3,6
246,248,No-Think,Neutral,1655944,People_095_h.jpg,1,6
247,249,No-Think,Emotion,1661463,Animals_008_v.jpg,3,6
248,250,No-Think,Emotion,1666715,Objects_022_h.jpg,1,6
249,251,Think,Neutral,1671850,Animals_213_h.jpg,3,6
250,252,No-Think,Neutral,1676820,Faces_306_v.jpg,3,6
251,253,No-Think,Neutral,1682138,Animals_105_h.jpg,3,6
252,254,No-Think,Neutral,1687090,Objects_200_h.jpg,3,6
253,255,Think,Emotion,1691975,Animals_078_h.jpg,3,6
254,256,Think,Neutral,1697010,Animals_097_h.jpg,3,6
255,257,No-Think,Emotion,1702412,People_204_v.jpg,3,6
256,258,No-Think,Emotion,1707315,Objects_006_h.jpg,3,6
257,259,Think,Emotion,1712333,Animals_041_h.jpg,3,6
258,260,Think,Neutral,1717585,People_097_h.jpg,3,6
259,261,No-Think,Emotion,1722503,People_090_v.jpg,3,6
260,262,Think,Emotion,1727423,Objects_011_h.jpg,3,6
261,263,Think,Neutral,1732541,People_091_h.jpg,3,6
262,264,Think,Emotion,1737459,Objects_126_h.jpg,3,6
263,265,Think,Emotion,1742544,People_209_v.jpg,3,6
264,266,No-Think,Emotion,1747697,Faces_156_h.jpg,1,6
265,267,No-Think,Neutral,1753415,Animals_088_h.jpg,3,6
266,268,No-Think,Emotion,1758434,Faces_368_h.jpg,3,6
267,269,Think,Emotion,1764020,People_077_v.jpg,3,6
268,270,No-Think,Neutral,1769021,People_164_h.jpg,3,6
269,271,No-Think,Emotion,1773907,Animals_065_h.jpg,1,6
270,272,No-Think,Neutral,1778859,People_249_h.jpg,3,6
271,273,Think,Emotion,1783877,Animals_039_h.jpg,3,6
272,274,No-Think,Neutral,1788696,Faces_123_h.jpg,1,6
273,275,No-Think,Neutral,1794881,Objects_029_h.jpg,1,6
274,276,Think,Neutral,1799717,Faces_211_h.jpg,3,6
275,277,Think,Neutral,1804619,People_148_h.jpg,3,6
