,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
91,91,No-Think,Emotion,657539,Faces_156_h.jpg,1,2
92,92,No-Think,Emotion,663123,People_205_v.jpg,1,2
93,93,No-Think,Neutral,668742,Animals_088_h.jpg,1,2
94,94,Think,Neutral,673794,Faces_184_h.jpg,3,2
95,95,No-Think,Emotion,679246,People_090_v.jpg,1,2
96,96,Think,Emotion,684415,People_220_h.jpg,3,3
97,98,Think,Neutral,920590,Animals_097_h.jpg,3,3
98,99,No-Think,Emotion,925475,Objects_006_h.jpg,1,3
99,100,No-Think,Emotion,930494,People_019_v.jpg,1,3
100,101,No-Think,Neutral,935713,People_035_h.jpg,1,3
101,102,No-Think,Neutral,941131,Objects_029_h.jpg,2,3
102,103,Think,Neutral,946267,People_179_h.jpg,3,3
103,104,Think,Emotion,951319,Animals_039_h.jpg,3,3
104,105,No-Think,Emotion,956754,People_204_v.jpg,1,3
105,106,No-Think,Neutral,961973,Animals_088_h.jpg,1,3
106,107,Think,Neutral,967192,Animals_213_h.jpg,3,3
107,108,No-Think,Neutral,972394,Faces_292_h.jpg,1,3
108,109,Think,Emotion,977413,People_077_v.jpg,3,3
109,110,No-Think,Neutral,982981,Animals_105_h.jpg,1,3
110,111,Think,Neutral,988383,Faces_219_v.jpg,2,3
111,112,Think,Neutral,993302,Objects_049_h.jpg,1,3
112,113,Think,Neutral,998104,People_091_h.jpg,3,3
113,114,No-Think,Neutral,1002855,People_249_h.jpg,2,3
114,115,Think,Emotion,1007757,Objects_126_h.jpg,3,3
115,116,No-Think,Neutral,1012526,Faces_306_v.jpg,1,3
116,117,No-Think,Emotion,1017544,Animals_065_h.jpg,1,3
117,118,Think,Neutral,1022630,Faces_211_h.jpg,3,3
118,119,No-Think,Emotion,1028082,Objects_010_h.jpg,2,3
119,120,No-Think,Neutral,1033601,Faces_123_h.jpg,1,3
121,122,Think,Emotion,1044189,People_209_v.jpg,3,3
122,123,No-Think,Neutral,1049357,People_095_h.jpg,1,3
123,124,No-Think,Emotion,1054342,Faces_156_h.jpg,1,3
124,125,Think,Emotion,1059427,Objects_154_h.jpg,3,3
125,126,Think,Emotion,1064813,Objects_011_h.jpg,3,3
126,127,Think,Emotion,1070049,Animals_078_h.jpg,2,3
127,128,No-Think,Emotion,1075284,Animals_008_v.jpg,1,3
128,129,No-Think,Neutral,1080819,Animals_043_h.jpg,1,3
129,130,Think,Emotion,1085938,Objects_023_v.jpg,3,3
130,131,No-Think,Emotion,1091423,People_090_v.jpg,1,3
132,133,Think,Emotion,1101360,Animals_041_h.jpg,3,3
133,134,No-Think,Emotion,1106546,People_205_v.jpg,1,3
134,135,No-Think,Emotion,1111748,People_230_h.jpg,1,3
135,136,Think,Neutral,1116766,People_097_h.jpg,3,3
136,137,Think,Neutral,1121668,Animals_132_h.jpg,3,3
137,138,Think,Neutral,1126687,Faces_184_h.jpg,3,3
138,139,Think,Neutral,1131455,People_148_h.jpg,3,3
139,140,No-Think,Neutral,1136557,Objects_200_h.jpg,1,3
140,141,Think,Neutral,1142043,Objects_242_h.jpg,3,3
141,142,No-Think,Neutral,1147228,People_164_h.jpg,1,3
142,143,Think,Emotion,1152347,People_217_h.jpg,3,3
143,144,Think,Emotion,1157282,Objects_088_h.jpg,3,3
144,145,Think,Neutral,1162451,People_148_h.jpg,3,4
145,146,No-Think,Neutral,1167986,Faces_306_v.jpg,1,4
146,147,No-Think,Emotion,1173355,People_090_v.jpg,1,4
147,148,No-Think,Emotion,1178557,People_019_v.jpg,1,4
148,149,No-Think,Neutral,1183592,People_035_h.jpg,1,4
149,150,Think,Neutral,1188611,Faces_184_h.jpg,3,4
150,151,Think,Neutral,1193580,Animals_213_h.jpg,3,4
151,152,Think,Emotion,1198448,People_077_v.jpg,3,4
152,153,No-Think,Emotion,1203433,Objects_010_h.jpg,1,4
153,154,No-Think,Neutral,1208135,Animals_105_h.jpg,2,4
154,155,No-Think,Emotion,1212938,People_205_v.jpg,1,4
155,156,Think,Emotion,1218172,Animals_039_h.jpg,3,4
156,157,No-Think,Neutral,1223208,Objects_029_h.jpg,1,4
158,159,No-Think,Emotion,1233945,People_230_h.jpg,1,4
159,160,No-Think,Neutral,1239031,Objects_200_h.jpg,1,4
160,161,No-Think,Neutral,1243983,Faces_123_h.jpg,1,4
161,162,Think,Emotion,1249235,Objects_126_h.jpg,3,4
162,163,Think,Neutral,1254653,Animals_132_h.jpg,3,4
163,164,Think,Neutral,1259505,Faces_211_h.jpg,3,4
164,165,Think,Neutral,1264874,Faces_219_v.jpg,1,4
165,166,Think,Emotion,1270043,People_220_h.jpg,3,4
166,167,Think,Emotion,1275045,Objects_023_v.jpg,3,4
167,168,Think,Emotion,1280097,People_209_v.jpg,3,4
168,169,No-Think,Emotion,1285065,Animals_065_h.jpg,1,4
169,170,No-Think,Neutral,1291134,People_095_h.jpg,1,4
171,172,No-Think,Neutral,1301588,Faces_292_h.jpg,1,4
172,173,Think,Emotion,1306674,Animals_078_h.jpg,2,4
173,174,No-Think,Emotion,1311509,Faces_368_h.jpg,1,4
174,175,No-Think,Neutral,1316695,People_249_h.jpg,1,4
176,177,No-Think,Emotion,1326898,Objects_022_h.jpg,1,4
177,178,No-Think,Emotion,1332000,People_204_v.jpg,1,4
178,179,Think,Emotion,1337486,Animals_041_h.jpg,3,4
179,180,No-Think,Emotion,1342521,Objects_006_h.jpg,1,4
180,181,No-Think,Emotion,1347656,Faces_156_h.jpg,1,4
181,182,Think,Neutral,1352725,People_179_h.jpg,3,4
182,183,Think,Emotion,1358044,Objects_154_h.jpg,3,4
183,184,No-Think,Neutral,1363112,Animals_088_h.jpg,1,4
184,185,No-Think,Neutral,1368381,People_164_h.jpg,1,4
187,188,Think,Emotion,1384454,Objects_088_h.jpg,3,4
188,189,Think,Neutral,1389622,People_091_h.jpg,3,4
189,190,Think,Neutral,1395108,Objects_049_h.jpg,1,4
190,191,Think,Emotion,1400327,Objects_011_h.jpg,3,4
191,192,Think,Neutral,1405445,Animals_097_h.jpg,3,4
192,193,No-Think,Neutral,1410314,Faces_123_h.jpg,1,5
193,194,Think,Emotion,1415416,Objects_088_h.jpg,3,5
194,196,No-Think,Neutral,1447662,Animals_105_h.jpg,2,5
195,197,Think,Emotion,1452630,Animals_078_h.jpg,2,5
196,198,No-Think,Emotion,1457616,People_019_v.jpg,1,5
197,199,No-Think,Emotion,1462451,Faces_368_h.jpg,1,5
198,200,No-Think,Neutral,1467403,Animals_088_h.jpg,1,5
199,201,No-Think,Neutral,1472472,Objects_200_h.jpg,1,5
200,202,Think,Neutral,1477807,Faces_219_v.jpg,3,5
201,203,Think,Emotion,1482792,Animals_039_h.jpg,3,5
202,204,No-Think,Emotion,1487827,Animals_008_v.jpg,1,5
203,205,Think,Emotion,1492863,People_077_v.jpg,3,5
204,206,Think,Emotion,1497848,People_220_h.jpg,3,5
205,207,Think,Neutral,1503000,People_179_h.jpg,3,5
206,208,No-Think,Neutral,1508335,Faces_306_v.jpg,1,5
208,210,No-Think,Emotion,1518523,Objects_022_h.jpg,1,5
209,211,Think,Neutral,1523341,People_097_h.jpg,2,5
210,212,Think,Emotion,1528677,Objects_126_h.jpg,3,5
211,213,Think,Neutral,1533778,Faces_211_h.jpg,3,5
212,214,No-Think,Emotion,1539131,Objects_006_h.jpg,1,5
213,215,No-Think,Emotion,1544082,Animals_065_h.jpg,1,5
214,216,Think,Neutral,1548984,People_148_h.jpg,3,5
215,217,No-Think,Emotion,1554120,People_204_v.jpg,1,5
216,218,No-Think,Neutral,1559255,Objects_029_h.jpg,1,5
217,219,Think,Emotion,1564274,People_209_v.jpg,3,5
218,220,No-Think,Neutral,1569459,Faces_292_h.jpg,1,5
219,221,Think,Emotion,1574528,People_217_h.jpg,3,5
220,222,Think,Neutral,1579896,People_091_h.jpg,3,5
221,223,No-Think,Neutral,1584998,People_164_h.jpg,1,5
222,224,No-Think,Neutral,1590017,People_249_h.jpg,1,5
223,225,Think,Neutral,1595069,Objects_242_h.jpg,3,5
225,227,No-Think,Neutral,1605323,Animals_043_h.jpg,1,5
227,229,No-Think,Neutral,1615310,People_035_h.jpg,1,5
228,230,Think,Emotion,1620112,Objects_154_h.jpg,2,5
229,231,No-Think,Neutral,1626831,People_095_h.jpg,1,5
230,232,Think,Emotion,1631867,Objects_011_h.jpg,3,5
231,233,Think,Emotion,1636752,Animals_041_h.jpg,3,5
232,234,No-Think,Emotion,1641854,Objects_010_h.jpg,1,5
233,235,Think,Neutral,1647156,Animals_097_h.jpg,3,5
234,236,No-Think,Emotion,1652208,People_205_v.jpg,1,5
235,237,Think,Neutral,1657126,Animals_132_h.jpg,3,5
236,238,Think,Neutral,1662395,Faces_184_h.jpg,3,5
237,239,No-Think,Emotion,1667547,People_230_h.jpg,1,5
239,241,Think,Neutral,1677834,Animals_213_h.jpg,3,5
240,242,No-Think,Neutral,1682720,Faces_306_v.jpg,1,6
241,243,Think,Emotion,1687755,People_217_h.jpg,3,6
242,244,Think,Emotion,1693507,Objects_154_h.jpg,3,6
243,245,Think,Emotion,1698743,Objects_126_h.jpg,3,6
244,246,No-Think,Emotion,1703911,Objects_006_h.jpg,1,6
245,247,No-Think,Neutral,1709113,People_249_h.jpg,1,6
246,248,No-Think,Neutral,1713982,Objects_200_h.jpg,1,6
247,249,No-Think,Neutral,1719201,Animals_088_h.jpg,1,6
248,250,No-Think,Emotion,1724453,People_205_v.jpg,1,6
249,251,No-Think,Emotion,1729471,People_204_v.jpg,1,6
250,252,Think,Neutral,1734690,Animals_213_h.jpg,3,6
251,253,Think,Neutral,1739809,Faces_219_v.jpg,3,6
252,254,Think,Neutral,1744777,Faces_211_h.jpg,3,6
253,255,No-Think,Neutral,1749812,Objects_029_h.jpg,1,6
254,256,No-Think,Neutral,1754881,Animals_105_h.jpg,1,6
255,257,No-Think,Emotion,1759950,Animals_008_v.jpg,1,6
256,258,No-Think,Emotion,1764752,Objects_010_h.jpg,1,6
257,259,Think,Emotion,1769987,People_209_v.jpg,3,6
258,260,No-Think,Neutral,1775072,People_035_h.jpg,2,6
259,261,Think,Emotion,1780124,Animals_041_h.jpg,2,6
260,262,Think,Emotion,1785526,Objects_011_h.jpg,3,6
261,263,Think,Emotion,1790612,People_077_v.jpg,3,6
262,264,No-Think,Emotion,1795547,People_019_v.jpg,1,6
