,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
90,90,Think,Neutral,692612,People_026_h.jpg,3,2
91,91,No-Think,Neutral,697580,Faces_219_v.jpg,1,2
92,92,Think,Emotion,702632,People_223_h.jpg,3,2
93,93,No-Think,Neutral,707333,People_097_h.jpg,1,2
94,94,No-Think,Emotion,712152,Objects_023_v.jpg,1,2
95,95,Think,Emotion,717054,Objects_007_h.jpg,2,2
96,96,Think,Neutral,721923,Objects_164_h.jpg,3,3
97,98,No-Think,Neutral,976472,Faces_184_h.jpg,2,3
98,99,No-Think,Emotion,981373,Objects_088_h.jpg,1,3
99,100,No-Think,Neutral,986342,Animals_097_h.jpg,2,3
100,101,No-Think,Neutral,991261,People_091_h.jpg,1,3
101,102,No-Think,Neutral,996513,Animals_213_h.jpg,1,3
102,103,No-Think,Neutral,1001698,People_179_h.jpg,1,3
103,104,Think,Neutral,1006767,People_149_h.jpg,3,3
104,105,Think,Emotion,1011969,Faces_296_h.jpg,3,3
105,106,Think,Emotion,1017304,People_247_v.jpg,3,3
106,107,No-Think,Neutral,1023257,Faces_211_h.jpg,1,3
107,108,No-Think,Emotion,1028208,Animals_039_h.jpg,1,3
108,109,Think,Emotion,1033677,People_223_h.jpg,3,3
109,110,No-Think,Emotion,1038529,Objects_011_h.jpg,1,3
110,111,No-Think,Emotion,1043815,Objects_154_h.jpg,1,3
111,112,Think,Neutral,1048950,People_100_h.jpg,3,3
112,113,No-Think,Neutral,1053785,People_097_h.jpg,1,3
113,114,No-Think,Emotion,1059037,People_220_h.jpg,1,3
114,115,No-Think,Emotion,1064489,Animals_078_h.jpg,1,3
115,116,No-Think,Emotion,1069741,People_217_h.jpg,2,3
117,118,Think,Neutral,1080462,People_026_h.jpg,3,3
118,119,Think,Neutral,1085598,Faces_065_h.jpg,3,3
119,120,Think,Neutral,1090499,People_028_h.jpg,3,3
120,121,Think,Emotion,1095485,Objects_021_v.jpg,3,3
121,122,No-Think,Emotion,1100603,People_077_v.jpg,1,3
122,123,Think,Neutral,1105455,Faces_061_h.jpg,3,3
123,124,Think,Neutral,1110424,Animals_155_v.jpg,3,3
124,125,No-Think,Neutral,1115643,Objects_049_h.jpg,1,3
125,126,No-Think,Neutral,1120745,People_148_h.jpg,1,3
126,127,No-Think,Neutral,1125897,Animals_132_h.jpg,1,3
127,128,Think,Emotion,1130882,People_239_h.jpg,3,3
129,130,No-Think,Neutral,1140702,Faces_219_v.jpg,1,3
130,131,Think,Emotion,1145388,Animals_018_h.jpg,3,3
131,132,No-Think,Emotion,1150273,Objects_126_h.jpg,1,3
132,133,Think,Neutral,1155075,Animals_108_h.jpg,3,3
133,134,Think,Emotion,1160360,Objects_013_h.jpg,3,3
134,135,Think,Emotion,1165495,Objects_125_h.jpg,3,3
135,136,Think,Emotion,1170431,Objects_007_h.jpg,3,3
136,137,No-Think,Emotion,1175599,Animals_041_h.jpg,1,3
138,139,Think,Emotion,1185537,Animals_062_h.jpg,3,3
139,140,No-Think,Neutral,1190939,Objects_242_h.jpg,1,3
140,141,Think,Emotion,1195957,People_213_v.jpg,3,3
141,142,Think,Neutral,1200809,People_151_h.jpg,3,3
142,143,Think,Neutral,1205511,Objects_270_h.jpg,3,3
143,144,Think,Neutral,1210596,Faces_060_h.jpg,3,3
144,145,No-Think,Emotion,1215565,Animals_039_h.jpg,1,4
145,146,Think,Emotion,1220717,Objects_125_h.jpg,3,4
146,147,No-Think,Neutral,1225619,Faces_184_h.jpg,1,4
147,148,No-Think,Neutral,1230921,People_148_h.jpg,1,4
148,149,Think,Emotion,1235940,Animals_018_h.jpg,3,4
149,150,No-Think,Neutral,1241225,Faces_211_h.jpg,1,4
150,151,Think,Emotion,1246127,Objects_021_v.jpg,3,4
151,152,Think,Neutral,1251296,Objects_164_h.jpg,3,4
152,153,Think,Emotion,1256481,Objects_007_h.jpg,3,4
153,154,No-Think,Neutral,1261233,Faces_219_v.jpg,1,4
154,155,Think,Emotion,1266168,Animals_062_h.jpg,3,4
155,156,No-Think,Neutral,1271087,Animals_213_h.jpg,1,4
156,157,Think,Emotion,1276172,People_239_h.jpg,3,4
157,158,Think,Emotion,1281207,People_213_v.jpg,3,4
158,159,No-Think,Emotion,1286609,Animals_078_h.jpg,1,4
159,160,No-Think,Emotion,1292061,Animals_041_h.jpg,1,4
160,161,No-Think,Emotion,1297047,People_220_h.jpg,1,4
161,162,No-Think,Neutral,1302532,Objects_242_h.jpg,1,4
162,163,No-Think,Neutral,1307734,People_097_h.jpg,1,4
163,164,Think,Neutral,1312786,People_026_h.jpg,3,4
164,165,No-Think,Neutral,1318005,People_179_h.jpg,2,4
165,166,Think,Neutral,1323140,Faces_061_h.jpg,3,4
166,167,Think,Neutral,1328326,Objects_270_h.jpg,3,4
167,168,Think,Neutral,1333494,Animals_155_v.jpg,3,4
168,169,Think,Neutral,1338963,People_028_h.jpg,3,4
169,170,Think,Emotion,1344265,Faces_296_h.jpg,3,4
170,171,Think,Neutral,1349384,People_100_h.jpg,3,4
171,172,No-Think,Emotion,1354502,Objects_154_h.jpg,1,4
172,173,No-Think,Emotion,1359738,Objects_023_v.jpg,1,4
174,175,Think,Emotion,1370592,Objects_106_v.jpg,3,4
175,176,No-Think,Neutral,1375277,People_091_h.jpg,1,4
177,178,Think,Emotion,1385248,People_223_h.jpg,3,4
178,179,Think,Emotion,1390550,Objects_013_h.jpg,3,4
179,180,Think,Neutral,1396219,People_149_h.jpg,3,4
180,181,Think,Neutral,1401187,Animals_108_h.jpg,3,4
181,182,No-Think,Emotion,1406806,Objects_011_h.jpg,1,4
182,183,No-Think,Neutral,1411608,Objects_049_h.jpg,1,4
183,184,No-Think,Neutral,1417060,Animals_132_h.jpg,1,4
184,185,No-Think,Emotion,1423196,People_209_v.jpg,1,4
185,186,No-Think,Neutral,1428181,Animals_097_h.jpg,2,4
186,187,No-Think,Emotion,1433233,Objects_088_h.jpg,1,4
187,188,Think,Emotion,1438485,People_247_v.jpg,3,4
188,189,No-Think,Emotion,1443704,People_077_v.jpg,1,4
189,190,Think,Neutral,1448823,Faces_065_h.jpg,3,4
190,191,Think,Neutral,1454008,Faces_060_h.jpg,3,4
191,192,Think,Neutral,1458943,People_151_h.jpg,3,4
192,193,Think,Emotion,1464312,Objects_021_v.jpg,3,5
193,194,Think,Neutral,1469414,Faces_060_h.jpg,3,5
194,196,Think,Neutral,1513648,People_100_h.jpg,3,5
195,197,Think,Emotion,1518433,Animals_018_h.jpg,3,5
196,198,No-Think,Emotion,1523485,Objects_088_h.jpg,1,5
197,199,No-Think,Emotion,1528387,People_209_v.jpg,1,5
198,200,No-Think,Emotion,1533589,Objects_154_h.jpg,1,5
199,201,Think,Emotion,1538391,Faces_296_h.jpg,3,5
200,202,No-Think,Emotion,1543076,People_220_h.jpg,1,5
201,203,Think,Neutral,1547961,Animals_155_v.jpg,3,5
202,204,Think,Neutral,1553064,Objects_164_h.jpg,3,5
203,205,Think,Emotion,1557815,People_213_v.jpg,3,5
204,206,No-Think,Neutral,1562650,People_148_h.jpg,1,5
205,207,Think,Neutral,1567802,People_028_h.jpg,3,5
206,208,Think,Emotion,1572537,Objects_106_v.jpg,3,5
207,209,No-Think,Emotion,1577439,Animals_041_h.jpg,1,5
208,210,No-Think,Neutral,1582541,People_091_h.jpg,1,5
209,211,Think,Emotion,1587727,Objects_007_h.jpg,3,5
210,212,No-Think,Neutral,1592412,Objects_049_h.jpg,2,5
211,213,Think,Neutral,1597430,People_149_h.jpg,3,5
212,214,Think,Emotion,1602482,Objects_125_h.jpg,3,5
213,215,Think,Neutral,1607284,People_026_h.jpg,3,5
214,216,Think,Emotion,1612670,Objects_013_h.jpg,3,5
215,217,Think,Neutral,1617755,People_151_h.jpg,3,5
216,218,No-Think,Neutral,1622674,People_179_h.jpg,1,5
217,219,No-Think,Emotion,1627609,Animals_039_h.jpg,2,5
218,220,No-Think,Emotion,1632811,Animals_078_h.jpg,1,5
219,221,No-Think,Neutral,1637730,Animals_132_h.jpg,1,5
220,222,No-Think,Neutral,1642598,Animals_213_h.jpg,1,5
221,223,No-Think,Neutral,1647483,Faces_219_v.jpg,1,5
222,224,No-Think,Emotion,1652202,Objects_126_h.jpg,1,5
223,225,No-Think,Emotion,1657020,People_077_v.jpg,1,5
224,226,Think,Emotion,1661789,Animals_062_h.jpg,3,5
225,227,No-Think,Neutral,1666391,Objects_242_h.jpg,1,5
226,228,No-Think,Emotion,1671193,Objects_011_h.jpg,1,5
227,229,No-Think,Neutral,1676028,Faces_211_h.jpg,1,5
228,230,Think,Neutral,1681213,Objects_270_h.jpg,3,5
229,231,Think,Neutral,1686382,Faces_065_h.jpg,3,5
230,232,Think,Emotion,1691400,People_239_h.jpg,3,5
231,233,No-Think,Neutral,1696619,Animals_097_h.jpg,1,5
232,234,No-Think,Neutral,1701571,People_097_h.jpg,1,5
233,235,Think,Neutral,1706440,Faces_061_h.jpg,3,5
234,236,Think,Emotion,1711592,People_247_v.jpg,3,5
235,237,No-Think,Neutral,1716760,Faces_184_h.jpg,1,5
236,238,Think,Emotion,1721779,People_223_h.jpg,3,5
237,239,No-Think,Emotion,1726647,Objects_023_v.jpg,1,5
238,240,No-Think,Emotion,1731616,People_217_h.jpg,1,5
240,242,No-Think,Neutral,1741603,Objects_049_h.jpg,1,6
241,243,Think,Emotion,1746238,People_239_h.jpg,3,6
242,244,No-Think,Emotion,1751024,Objects_088_h.jpg,1,6
243,245,No-Think,Neutral,1755876,People_097_h.jpg,1,6
244,246,Think,Emotion,1760878,Objects_021_v.jpg,3,6
245,247,No-Think,Neutral,1765863,Animals_132_h.jpg,1,6
246,248,Think,Emotion,1770965,Animals_018_h.jpg,3,6
