,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
94,Baseline,Neutral,Non vivant,Org,593315,1,756,dromedary.png,Black.jpg,3
95,Think,Emotion,Non vivant,NonOrg,596933,2,975,dice02a.png,Landscapes_025_h.jpg,3
96,Think,Neutral,Vivant,Org,600901,1,1205,siamesecat.png,People_146_h.jpg,3
97,No-Think,Neutral,Non vivant,Org,604902,1,1033,lion.png,Landscapes_038_h.jpg,3
98,Baseline,Neutral,Vivant,Org,608904,1,459,moose.png,Black.jpg,3
99,Think,Emotion,Vivant,NonOrg,612105,1,1759,antenna.png,People_216_h.jpg,3
100,No-Think,Emotion,Vivant,Org,616540,1,1499,tern.png,People_198_h.jpg,3
101,Baseline,Emotion,Vivant,NonOrg,621059,2,826,toytractor01b.png,Black.jpg,3
102,No-Think,Emotion,Vivant,NonOrg,624627,2,1459,bassguitar.png,People_208_h.jpg,3
103,No-Think,Neutral,Non vivant,NonOrg,632847,2,545,usbcable01b.png,Landscapes_048_h.jpg,3
104,No-Think,Emotion,Vivant,Org,636181,1,941,saintbernard.png,People_222_h.jpg,3
105,Baseline,Emotion,Non vivant,Org,647336,1,479,squirrel.png,Black.jpg,3
106,Think,Emotion,Non vivant,NonOrg,650620,2,1372,scale01b.png,Objects_127_h.jpg,3
107,No-Think,Emotion,Non vivant,NonOrg,654805,2,1081,scotchtape.png,Landscapes_007_h.jpg,3
108,Baseline,Emotion,Vivant,Org,658757,1,604,tiger02.png,Black.jpg,3
109,No-Think,Neutral,Vivant,NonOrg,662041,2,1211,baseball01a.png,Faces_024_h.jpg,3
110,Baseline,Emotion,Vivant,NonOrg,666276,2,699,binoculars01b.png,Black.jpg,3
111,Baseline,Emotion,Non vivant,NonOrg,669644,2,693,aceofdiamond.png,Black.jpg,3
112,No-Think,Emotion,Non vivant,NonOrg,673379,2,826,toaster02.png,Objects_151_h.jpg,3
113,No-Think,Neutral,Non vivant,Org,677031,1,1242,hen.png,Objects_082_h.jpg,3
114,Think,Neutral,Non vivant,NonOrg,680982,2,1241,bandage.png,Objects_204_h.jpg,3
115,Think,Emotion,Vivant,Org,685267,1,1427,rockbass.png,People_240_h.jpg,3
116,Think,Neutral,Vivant,NonOrg,689586,1,1389,backfloat.png,People_109_h.jpg,3
117,No-Think,Emotion,Non vivant,Org,693787,1,1190,tortoise01.png,Objects_233_h.jpg,3
118,Baseline,Emotion,Non vivant,NonOrg,697789,2,727,balloon01b.png,Black.jpg,3
119,Think,Emotion,Vivant,NonOrg,701307,1,1427,beachpaddle01a.png,People_233_h.jpg,3
120,Baseline,Neutral,Non vivant,Org,705725,1,884,blackbear.png,Black.jpg,3
121,No-Think,Neutral,Vivant,Org,709527,1,1048,beaver.png,People_155_h.jpg,3
122,No-Think,Neutral,Vivant,NonOrg,713328,2,1178,amphora.png,People_105_h.jpg,3
123,Think,Emotion,Vivant,Org,717213,1,1266,stuffedpuffin.png,People_227_h.jpg,3
124,Think,Neutral,Vivant,Org,721215,1,1205,skunk.png,Faces_276_h.jpg,3
125,Baseline,Neutral,Vivant,NonOrg,725416,2,506,alarmclock02b.png,Black.jpg,3
126,Think,Neutral,Non vivant,Org,728901,2,1145,raccoon.png,Objects_169_h.jpg,3
127,No-Think,Neutral,Non vivant,NonOrg,732736,2,983,bikehelmet.png,Landscapes_034_h.jpg,4
128,No-Think,Emotion,Vivant,NonOrg,736704,2,1090,bassguitar.png,People_208_h.jpg,4
129,No-Think,Neutral,Vivant,Org,740606,1,957,caribou01.png,Faces_308_h.jpg,4
130,Think,Neutral,Vivant,Org,752143,1,975,skunk.png,Faces_276_h.jpg,4
131,Baseline,Neutral,Vivant,NonOrg,755912,2,545,bib.png,Black.jpg,4
132,Think,Emotion,Vivant,Org,759480,1,1214,stuffedpuffin.png,People_227_h.jpg,4
133,Think,Emotion,Non vivant,NonOrg,763615,2,946,dice02a.png,Landscapes_025_h.jpg,4
134,Think,Neutral,Vivant,NonOrg,767533,1,1549,backfloat.png,People_109_h.jpg,4
