,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
56,Think,Emotion,Vivant,Org,416050,1,909,saintbernard.png,People_222_h.jpg,2
57,No-Think,Neutral,Vivant,NonOrg,419968,2,1150,bicycle.png,Faces_045_h.jpg,2
58,Baseline,Emotion,Non vivant,NonOrg,424137,2,964,aceofdiamond.png,Black.jpg,2
59,Think,Neutral,Non vivant,NonOrg,428055,2,2112,bikehelmet.png,Landscapes_034_h.jpg,2
60,Baseline,Emotion,Non vivant,Org,432873,1,1105,squirrel.png,Black.jpg,2
61,No-Think,Neutral,Non vivant,NonOrg,436925,2,1408,banjo.png,Objects_099_h.jpg,2
62,No-Think,Emotion,Non vivant,NonOrg,441043,2,975,scale01b.png,Objects_127_h.jpg,2
63,Think,Neutral,Vivant,Org,444995,1,904,beaver.png,People_155_h.jpg,2
64,Baseline,Emotion,Vivant,Org,448529,2,1272,tiger02.png,Black.jpg,2
65,No-Think,Neutral,Non vivant,NonOrg,452598,2,861,bandage.png,Objects_204_h.jpg,2
66,Baseline,Neutral,Vivant,Org,456266,1,1202,moose.png,Black.jpg,2
67,No-Think,Emotion,Vivant,Org,460217,1,1612,stuffedpuffin.png,People_227_h.jpg,2
68,Think,Emotion,Non vivant,NonOrg,464569,2,1612,scotchtape.png,Landscapes_007_h.jpg,2
69,Baseline,Neutral,Vivant,NonOrg,469121,2,914,alarmclock02b.png,Black.jpg,2
70,Think,Emotion,Non vivant,Org,473039,2,2100,toad.png,Objects_138_h.jpg,2
71,Think,Neutral,Vivant,NonOrg,478208,1,1243,baseball01a.png,Faces_024_h.jpg,2
72,Baseline,Neutral,Vivant,Org,482126,1,1038,kangaroo.png,Black.jpg,2
73,No-Think,Emotion,Non vivant,Org,486144,1,895,swallow.png,Objects_144_h.jpg,2
74,Baseline,Emotion,Non vivant,Org,490046,1,856,cow.png,Black.jpg,2
75,Baseline,Neutral,Non vivant,Org,493780,1,591,blackbear.png,Black.jpg,2
76,Baseline,Emotion,Vivant,NonOrg,497165,2,1027,binoculars01b.png,Black.jpg,2
77,No-Think,Emotion,Vivant,NonOrg,501050,2,1716,antenna.png,People_216_h.jpg,2
78,Think,Neutral,Non vivant,NonOrg,505685,2,1387,usbcable01b.png,Landscapes_048_h.jpg,2
79,No-Think,Emotion,Non vivant,Org,509770,2,1395,sheep.png,Landscapes_139_h.jpg,2
80,No-Think,Emotion,Non vivant,NonOrg,514072,2,1066,dice02a.png,Landscapes_025_h.jpg,2
81,Think,Emotion,Non vivant,Org,517923,2,1166,tortoise01.png,Objects_233_h.jpg,2
82,Baseline,Neutral,Vivant,NonOrg,522091,2,1274,bib.png,Black.jpg,2
83,No-Think,Emotion,Vivant,NonOrg,526076,2,1201,beachpaddle01a.png,People_233_h.jpg,2
84,No-Think,Neutral,Non vivant,Org,530311,2,1492,killerwhale.png,Objects_214_h.jpg,2
85,Baseline,Emotion,Non vivant,NonOrg,534646,2,1527,balloon01b.png,Black.jpg,2
86,Think,Neutral,Non vivant,Org,538865,2,1346,hen.png,Objects_082_h.jpg,2
87,Think,Emotion,Vivant,NonOrg,543050,1,1561,airhockeypaddle01a.png,Animals_032_h.jpg,2
88,Think,Emotion,Non vivant,NonOrg,547535,2,1701,toaster02.png,Objects_151_h.jpg,2
89,No-Think,Emotion,Vivant,Org,552036,1,1434,rockbass.png,People_240_h.jpg,2
90,Think,Neutral,Vivant,NonOrg,556488,1,1287,amphora.png,People_105_h.jpg,2
91,Think,Emotion,Vivant,Org,560790,1,1236,tern.png,People_198_h.jpg,2
92,Think,Neutral,Non vivant,Org,564691,2,1103,lion.png,Landscapes_038_h.jpg,2
93,Think,Neutral,Vivant,Org,568710,1,1381,caribou01.png,Faces_308_h.jpg,2
94,Baseline,Emotion,Vivant,Org,572895,1,896,sturgeon.png,Black.jpg,2
95,No-Think,Neutral,Non vivant,Org,576763,1,892,raccoon.png,Objects_169_h.jpg,2
96,No-Think,Emotion,Non vivant,NonOrg,580681,2,771,scale01b.png,Objects_127_h.jpg,3
97,Think,Neutral,Vivant,NonOrg,607942,1,1091,baseball01a.png,Faces_024_h.jpg,3
98,Think,Neutral,Vivant,Org,611776,1,634,caribou01.png,Faces_308_h.jpg,3
99,No-Think,Emotion,Vivant,NonOrg,615211,2,1162,antenna.png,People_216_h.jpg,3
100,Baseline,Neutral,Vivant,NonOrg,619179,2,698,alarmclock02b.png,Black.jpg,3
101,Think,Emotion,Non vivant,NonOrg,622814,2,953,toaster02.png,Objects_151_h.jpg,3
102,No-Think,Neutral,Vivant,NonOrg,626466,2,1108,bicycle.png,Faces_045_h.jpg,3
103,Think,Neutral,Non vivant,Org,630250,2,837,hen.png,Objects_082_h.jpg,3
104,No-Think,Emotion,Non vivant,Org,633768,1,1402,swallow.png,Objects_144_h.jpg,3
105,No-Think,Neutral,Vivant,NonOrg,637920,2,990,backfloat.png,People_109_h.jpg,3
106,Think,Neutral,Non vivant,NonOrg,641671,2,1159,usbcable01b.png,Landscapes_048_h.jpg,3
107,Baseline,Neutral,Vivant,Org,645740,1,919,kangaroo.png,Black.jpg,3
108,Baseline,Emotion,Non vivant,Org,649408,1,683,cow.png,Black.jpg,3
109,Baseline,Neutral,Vivant,NonOrg,652792,2,468,bib.png,Black.jpg,3
110,Baseline,Emotion,Vivant,Org,659445,1,985,tiger02.png,Black.jpg,3
111,No-Think,Neutral,Non vivant,Org,663280,1,1266,raccoon.png,Objects_169_h.jpg,3
112,Baseline,Neutral,Non vivant,Org,667381,1,753,blackbear.png,Black.jpg,3
113,Baseline,Neutral,Non vivant,NonOrg,670833,2,604,alarmclock01.png,Black.jpg,3
114,No-Think,Neutral,Vivant,Org,674401,1,745,siamesecat.png,People_146_h.jpg,3
115,Think,Neutral,Vivant,Org,677952,1,702,beaver.png,People_155_h.jpg,3
116,No-Think,Neutral,Non vivant,Org,681570,1,1264,killerwhale.png,Objects_214_h.jpg,3
117,Baseline,Neutral,Vivant,Org,685855,1,786,moose.png,Black.jpg,3
118,Think,Neutral,Non vivant,Org,689390,2,999,lion.png,Landscapes_038_h.jpg,3
119,Think,Emotion,Vivant,Org,693208,1,715,tern.png,People_198_h.jpg,3
120,Think,Neutral,Non vivant,NonOrg,696876,2,986,bikehelmet.png,Landscapes_034_h.jpg,3
121,Baseline,Emotion,Vivant,NonOrg,700544,2,968,binoculars01b.png,Black.jpg,3
122,No-Think,Emotion,Vivant,NonOrg,704463,2,1006,beachpaddle01a.png,People_233_h.jpg,3
123,Think,Emotion,Vivant,Org,708331,1,1023,saintbernard.png,People_222_h.jpg,3
124,Baseline,Emotion,Non vivant,Org,712166,1,837,squirrel.png,Black.jpg,3
125,No-Think,Neutral,Non vivant,NonOrg,715884,2,1062,bandage.png,Objects_204_h.jpg,3
126,Baseline,Emotion,Vivant,Org,719835,1,675,sturgeon.png,Black.jpg,3
127,Think,Emotion,Vivant,NonOrg,723270,1,1633,bassguitar.png,People_208_h.jpg,3
128,Baseline,Emotion,Vivant,NonOrg,727672,2,557,toytractor01b.png,Black.jpg,3
129,No-Think,Emotion,Vivant,Org,731223,2,1071,stuffedpuffin.png,People_227_h.jpg,3
130,Think,Emotion,Non vivant,Org,735025,2,1161,tortoise01.png,Objects_233_h.jpg,3
131,Baseline,Neutral,Non vivant,Org,738926,1,962,dromedary.png,Black.jpg,3
132,No-Think,Emotion,Vivant,Org,742728,1,1698,rockbass.png,People_240_h.jpg,3
133,Baseline,Emotion,Non vivant,NonOrg,747113,2,582,aceofdiamond.png,Black.jpg,3
134,No-Think,Neutral,Non vivant,NonOrg,750381,2,888,banjo.png,Objects_099_h.jpg,3
135,Think,Emotion,Vivant,NonOrg,754065,1,1208,airhockeypaddle01a.png,Animals_032_h.jpg,3
136,Think,Neutral,Vivant,NonOrg,758217,1,877,amphora.png,People_105_h.jpg,3
137,Think,Emotion,Non vivant,NonOrg,762052,2,807,scotchtape.png,Landscapes_007_h.jpg,3
138,Baseline,Emotion,Non vivant,NonOrg,765837,2,1142,balloon01b.png,Black.jpg,3
139,Baseline,Neutral,Non vivant,NonOrg,769905,2,548,armchair01.png,Black.jpg,3
140,No-Think,Emotion,Non vivant,Org,773273,1,1656,sheep.png,Landscapes_139_h.jpg,3
141,No-Think,Neutral,Vivant,Org,777608,1,628,skunk.png,Faces_276_h.jpg,3
142,Think,Emotion,Non vivant,Org,780976,2,1017,toad.png,Objects_138_h.jpg,3
143,Think,Emotion,Non vivant,NonOrg,784677,2,682,scotchtape.png,Landscapes_007_h.jpg,4
144,No-Think,Neutral,Vivant,NonOrg,788345,2,1346,bicycle.png,Faces_045_h.jpg,4
145,Baseline,Neutral,Non vivant,NonOrg,792497,2,526,alarmclock01.png,Black.jpg,4
146,No-Think,Emotion,Vivant,NonOrg,795998,2,873,antenna.png,People_216_h.jpg,4
147,Think,Neutral,Vivant,Org,799783,1,551,caribou01.png,Faces_308_h.jpg,4
148,Baseline,Emotion,Vivant,NonOrg,803068,2,562,toytractor01b.png,Black.jpg,4
149,Think,Emotion,Non vivant,Org,806686,2,647,toad.png,Objects_138_h.jpg,4
150,Think,Emotion,Non vivant,Org,810204,2,613,tortoise01.png,Objects_233_h.jpg,4
151,No-Think,Neutral,Non vivant,Org,813839,1,921,raccoon.png,Objects_169_h.jpg,4
152,Baseline,Neutral,Vivant,NonOrg,817490,2,791,alarmclock02b.png,Black.jpg,4
153,Think,Neutral,Vivant,Org,821258,1,827,beaver.png,People_155_h.jpg,4
154,Think,Emotion,Non vivant,NonOrg,824943,2,889,toaster02.png,Objects_151_h.jpg,4
155,Baseline,Emotion,Vivant,Org,828544,1,842,sturgeon.png,Black.jpg,4
156,Think,Neutral,Non vivant,Org,832196,2,672,lion.png,Landscapes_038_h.jpg,4
157,Think,Neutral,Non vivant,Org,835580,2,796,hen.png,Objects_082_h.jpg,4
158,Baseline,Neutral,Vivant,Org,839082,1,1045,kangaroo.png,Black.jpg,4
159,No-Think,Neutral,Non vivant,Org,843050,1,1217,killerwhale.png,Objects_214_h.jpg,4
160,Baseline,Neutral,Non vivant,Org,847018,1,420,dromedary.png,Black.jpg,4
161,Baseline,Emotion,Vivant,NonOrg,850486,2,401,binoculars01b.png,Black.jpg,4
162,Baseline,Neutral,Non vivant,NonOrg,853604,2,522,armchair01.png,Black.jpg,4
163,Think,Neutral,Vivant,NonOrg,856839,1,699,amphora.png,People_105_h.jpg,4
164,No-Think,Emotion,Vivant,Org,860424,1,1185,rockbass.png,People_240_h.jpg,4
165,No-Think,Emotion,Vivant,Org,864425,1,558,stuffedpuffin.png,People_227_h.jpg,4
166,No-Think,Emotion,Non vivant,Org,867660,1,745,sheep.png,Landscapes_139_h.jpg,4
167,Think,Emotion,Vivant,Org,871178,1,882,saintbernard.png,People_222_h.jpg,4
168,No-Think,Neutral,Vivant,NonOrg,874913,2,743,backfloat.png,People_109_h.jpg,4
