,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
132,No-Think,Neutral,Non vivant,NonOrg,864145,2,441,bikehelmet.png,Landscapes_034_h.jpg,4
133,Baseline,Neutral,Non vivant,NonOrg,867429,2,541,bandage.png,Black.jpg,4
134,Baseline,Neutral,Vivant,NonOrg,870664,2,469,bicycle.png,Black.jpg,4
135,Baseline,Emotion,Vivant,Org,873965,1,775,stuffedpuffin.png,Black.jpg,4
136,No-Think,Neutral,Vivant,Org,877500,1,1080,beaver.png,People_155_h.jpg,4
137,Think,Neutral,Non vivant,Org,881401,2,1296,dromedary.png,Landscapes_073_h.jpg,4
138,No-Think,Neutral,Vivant,NonOrg,885369,2,1384,amphora.png,People_105_h.jpg,4
139,No-Think,Neutral,Non vivant,Org,889605,1,1086,lion.png,Landscapes_038_h.jpg,4
140,Think,Emotion,Non vivant,Org,893723,2,2311,squirrel.png,Objects_157_h.jpg,4
141,Baseline,Emotion,Vivant,Org,898825,1,1428,rockbass.png,Black.jpg,4
142,Baseline,Emotion,Non vivant,Org,903093,1,598,swallow.png,Black.jpg,4
143,Think,Emotion,Non vivant,NonOrg,906561,2,1575,aceofdiamond.png,Objects_109_h.jpg,4
144,Baseline,Emotion,Non vivant,NonOrg,910829,2,1741,dice02a.png,Black.jpg,4
145,Think,Neutral,Vivant,Org,915581,1,1299,kangaroo.png,People_138_h.jpg,4
146,Baseline,Neutral,Non vivant,Org,919883,1,1665,raccoon.png,Black.jpg,4
147,No-Think,Neutral,Non vivant,Org,924318,1,710,hen.png,Objects_082_h.jpg,4
148,No-Think,Neutral,Non vivant,NonOrg,927736,2,1146,usbcable01b.png,Landscapes_048_h.jpg,4
149,Baseline,Emotion,Vivant,NonOrg,931871,2,2090,antenna.png,Black.jpg,4
150,Think,Emotion,Vivant,Org,936890,1,1097,sturgeon.png,Faces_366_h.jpg,4
