,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
221,Baseline,Emotion,Non vivant,NonOrg,1304213,2,1041,scale01b.png,Black.jpg,6
222,No-Think,Neutral,Non vivant,NonOrg,1308231,2,765,alarmclock01.png,Landscapes_049_h.jpg,6
223,Baseline,Emotion,Vivant,Org,1311916,1,952,stuffedpuffin.png,Black.jpg,6
224,Baseline,Emotion,Vivant,NonOrg,1315567,2,1021,beachpaddle01a.png,Black.jpg,6
225,Baseline,Emotion,Non vivant,NonOrg,1326555,2,697,dice02a.png,Black.jpg,6
226,Baseline,Neutral,Vivant,NonOrg,1330290,2,630,backfloat.png,Black.jpg,6
227,No-Think,Emotion,Vivant,NonOrg,1333908,1,1005,binoculars01b.png,Animals_045_h.jpg,6
228,Think,Neutral,Vivant,Org,1337876,1,1241,beaver.png,People_155_h.jpg,6
229,Baseline,Emotion,Non vivant,Org,1342144,1,822,sheep.png,Black.jpg,6
230,Think,Neutral,Non vivant,NonOrg,1345679,2,2100,bikehelmet.png,Landscapes_034_h.jpg,6
231,Baseline,Neutral,Non vivant,NonOrg,1350814,2,1528,banjo.png,Black.jpg,6
232,No-Think,Neutral,Non vivant,Org,1355166,2,1463,dromedary.png,Landscapes_073_h.jpg,6
233,Think,Neutral,Vivant,Org,1365253,1,1491,caribou01.png,Faces_308_h.jpg,6
234,No-Think,Neutral,Non vivant,NonOrg,1369688,2,1132,armchair01.png,Objects_043_h.jpg,6
235,Baseline,Neutral,Non vivant,Org,1373673,1,1199,raccoon.png,Black.jpg,6
236,Baseline,Neutral,Vivant,NonOrg,1377675,2,1506,bicycle.png,Black.jpg,6
237,No-Think,Neutral,Non vivant,Org,1389746,2,1140,blackbear.png,Objects_085_h.jpg,6
238,Baseline,Neutral,Vivant,Org,1393547,1,827,skunk.png,Black.jpg,6
239,No-Think,Emotion,Non vivant,NonOrg,1397349,2,1691,aceofdiamond.png,Objects_109_h.jpg,6
240,Think,Emotion,Vivant,Org,1401801,1,2138,tern.png,People_198_h.jpg,6
241,No-Think,Emotion,Vivant,Org,1406803,1,2629,tiger02.png,People_202_h.jpg,6
242,Think,Neutral,Non vivant,Org,1412188,2,1522,hen.png,Objects_082_h.jpg,6
243,No-Think,Emotion,Non vivant,Org,1422292,2,1385,squirrel.png,Objects_157_h.jpg,6
244,Think,Emotion,Non vivant,NonOrg,1426477,2,1241,toaster02.png,Objects_151_h.jpg,6
245,Baseline,Neutral,Non vivant,NonOrg,1430679,2,491,bandage.png,Black.jpg,6
246,No-Think,Neutral,Vivant,NonOrg,1433863,1,806,bib.png,Faces_044_h.jpg,6
247,Think,Emotion,Vivant,NonOrg,1437515,1,1256,airhockeypaddle01a.png,Animals_032_h.jpg,6
248,No-Think,Neutral,Vivant,Org,1441549,1,2217,kangaroo.png,People_138_h.jpg,6
249,Baseline,Neutral,Non vivant,Org,1446701,1,2135,killerwhale.png,Black.jpg,6
250,Baseline,Neutral,Vivant,Org,1451803,1,727,siamesecat.png,Black.jpg,6
251,Think,Emotion,Vivant,Org,1455438,1,1598,saintbernard.png,People_222_h.jpg,6
252,Think,Emotion,Non vivant,Org,1459723,2,813,toad.png,Objects_138_h.jpg,6
253,No-Think,Emotion,Non vivant,NonOrg,1463341,2,1016,balloon01b.png,Landscapes_004_h.jpg,6
254,Think,Neutral,Vivant,NonOrg,1467293,1,1538,baseball01a.png,Faces_024_h.jpg,6
255,No-Think,Emotion,Non vivant,Org,1478631,2,787,cow.png,Landscapes_026_h.jpg,6
256,No-Think,Neutral,Vivant,Org,1482199,1,912,moose.png,Faces_224_h.jpg,6
257,Think,Neutral,Vivant,NonOrg,1485917,1,1257,amphora.png,People_105_h.jpg,6
258,Think,Emotion,Vivant,NonOrg,1489918,1,722,bassguitar.png,People_208_h.jpg,6
259,Baseline,Emotion,Vivant,Org,1493520,1,715,rockbass.png,Black.jpg,6
260,No-Think,Neutral,Vivant,NonOrg,1497204,1,979,alarmclock02b.png,People_048_h.jpg,6
261,Baseline,Neutral,Non vivant,Org,1500873,1,710,raccoon.png,Black.jpg,7
262,No-Think,Neutral,Non vivant,NonOrg,1504491,2,1197,armchair01.png,Objects_043_h.jpg,7
263,Think,Emotion,Non vivant,NonOrg,1508676,2,698,scotchtape.png,Landscapes_007_h.jpg,7
264,Think,Emotion,Non vivant,Org,1549225,2,1123,tortoise01.png,Objects_233_h.jpg,7
265,No-Think,Emotion,Vivant,Org,1553176,1,639,tiger02.png,People_202_h.jpg,7
