,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
240,No-Think,Neutral,Vivant,NonOrg,1180541,2,1105,amphora.png,People_105_h.jpg,6
241,No-Think,Neutral,Non vivant,Org,1184343,1,545,lion.png,Landscapes_038_h.jpg,6
242,No-Think,Neutral,Vivant,NonOrg,1187944,2,1208,baseball01a.png,Faces_024_h.jpg,6
243,Baseline,Neutral,Non vivant,NonOrg,1192062,2,824,alarmclock01.png,Black.jpg,6
244,No-Think,Emotion,Vivant,Org,1195714,1,1060,saintbernard.png,People_222_h.jpg,6
245,Baseline,Neutral,Non vivant,NonOrg,1199465,2,571,armchair01.png,Black.jpg,6
246,Think,Emotion,Non vivant,Org,1203000,2,976,sheep.png,Landscapes_139_h.jpg,6
247,Think,Neutral,Vivant,NonOrg,1206985,1,1746,bicycle.png,Faces_045_h.jpg,6
248,Baseline,Neutral,Non vivant,Org,1211486,1,635,blackbear.png,Black.jpg,6
249,Think,Neutral,Non vivant,Org,1215071,2,965,killerwhale.png,Objects_214_h.jpg,6
250,No-Think,Emotion,Non vivant,Org,1219056,1,2538,toad.png,Objects_138_h.jpg,6
251,Think,Neutral,Vivant,Org,1224258,1,786,skunk.png,Faces_276_h.jpg,6
252,No-Think,Neutral,Vivant,Org,1227960,1,2024,caribou01.png,Faces_308_h.jpg,6
253,No-Think,Emotion,Non vivant,Org,1232761,1,528,tortoise01.png,Objects_233_h.jpg,6
254,No-Think,Emotion,Non vivant,NonOrg,1236196,2,527,scotchtape.png,Landscapes_007_h.jpg,6
255,No-Think,Emotion,Non vivant,NonOrg,1239514,2,746,toaster02.png,Objects_151_h.jpg,6
256,Baseline,Neutral,Vivant,Org,1242932,1,2184,kangaroo.png,Black.jpg,6
257,Baseline,Emotion,Non vivant,NonOrg,1247934,2,430,aceofdiamond.png,Black.jpg,6
258,No-Think,Emotion,Vivant,NonOrg,1251385,2,469,airhockeypaddle01a.png,Animals_032_h.jpg,6
259,Baseline,Neutral,Vivant,NonOrg,1254853,2,421,alarmclock02b.png,Black.jpg,6
260,Think,Emotion,Vivant,NonOrg,1258255,1,1113,antenna.png,People_216_h.jpg,6
261,Think,Emotion,Non vivant,NonOrg,1262256,2,1188,dice02a.png,Landscapes_025_h.jpg,6
262,Think,Neutral,Vivant,Org,1266208,1,988,siamesecat.png,People_146_h.jpg,6
263,Baseline,Emotion,Vivant,Org,1270226,1,831,tiger02.png,Black.jpg,6
264,Think,Neutral,Non vivant,NonOrg,1273727,2,1000,banjo.png,Objects_099_h.jpg,6
265,Think,Emotion,Non vivant,Org,1277596,2,1325,swallow.png,Objects_144_h.jpg,6
266,Baseline,Neutral,Vivant,NonOrg,1281964,2,823,bib.png,Black.jpg,6
267,Baseline,Emotion,Vivant,NonOrg,1285532,2,498,binoculars01b.png,Black.jpg,6
268,No-Think,Neutral,Vivant,Org,1288717,1,806,beaver.png,People_155_h.jpg,6
269,Think,Neutral,Non vivant,Org,1292285,2,1253,raccoon.png,Objects_169_h.jpg,6
270,No-Think,Neutral,Non vivant,NonOrg,1296303,2,1556,bikehelmet.png,Landscapes_034_h.jpg,6
271,No-Think,Emotion,Vivant,NonOrg,1300905,2,966,bassguitar.png,People_208_h.jpg,6
272,No-Think,Neutral,Non vivant,NonOrg,1304940,2,541,usbcable01b.png,Landscapes_048_h.jpg,6
273,Think,Emotion,Vivant,NonOrg,1308374,1,1074,beachpaddle01a.png,People_233_h.jpg,6
274,Think,Neutral,Vivant,NonOrg,1312326,1,940,backfloat.png,People_109_h.jpg,6
275,Baseline,Emotion,Vivant,Org,1316311,1,541,sturgeon.png,Black.jpg,6
276,Think,Emotion,Vivant,Org,1322797,1,1518,stuffedpuffin.png,People_227_h.jpg,6
277,Think,Emotion,Vivant,Org,1327248,1,1128,rockbass.png,People_240_h.jpg,6
278,Baseline,Emotion,Vivant,NonOrg,1334484,2,611,toytractor01b.png,Black.jpg,6
279,Baseline,Emotion,Vivant,Org,1337852,1,558,sturgeon.png,Black.jpg,7
280,No-Think,Neutral,Vivant,Org,1341387,1,715,beaver.png,People_155_h.jpg,7
281,Think,Neutral,Vivant,Org,1345139,1,871,skunk.png,Faces_276_h.jpg,7
282,Think,Neutral,Non vivant,NonOrg,1380386,2,895,bandage.png,Objects_204_h.jpg,7
283,No-Think,Neutral,Non vivant,NonOrg,1384354,2,1151,bikehelmet.png,Landscapes_034_h.jpg,7
284,No-Think,Emotion,Vivant,NonOrg,1388372,2,831,bassguitar.png,People_208_h.jpg,7
285,Think,Emotion,Vivant,NonOrg,1391940,1,1439,antenna.png,People_216_h.jpg,7
286,Think,Emotion,Vivant,Org,1396442,1,2504,stuffedpuffin.png,People_227_h.jpg,7
287,No-Think,Emotion,Vivant,Org,1401811,1,707,saintbernard.png,People_222_h.jpg,7
288,Baseline,Neutral,Vivant,Org,1405412,1,439,kangaroo.png,Black.jpg,7
289,No-Think,Neutral,Vivant,Org,1408697,1,637,caribou01.png,Faces_308_h.jpg,7
290,No-Think,Emotion,Non vivant,NonOrg,1412348,2,656,toaster02.png,Objects_151_h.jpg,7
291,Think,Neutral,Vivant,Org,1415699,1,1845,siamesecat.png,People_146_h.jpg,7
292,Think,Emotion,Vivant,Org,1423686,1,744,rockbass.png,People_240_h.jpg,7
293,Think,Emotion,Non vivant,NonOrg,1427337,2,1037,scale01b.png,Objects_127_h.jpg,7
294,No-Think,Emotion,Vivant,Org,1431155,1,1700,tern.png,People_198_h.jpg,7
295,No-Think,Emotion,Non vivant,Org,1435891,1,653,tortoise01.png,Objects_233_h.jpg,7
296,Baseline,Emotion,Non vivant,Org,1445744,1,503,cow.png,Black.jpg,7
297,No-Think,Neutral,Vivant,NonOrg,1452380,2,604,amphora.png,People_105_h.jpg,7
298,No-Think,Neutral,Vivant,NonOrg,1455948,2,567,baseball01a.png,Faces_024_h.jpg,7
299,Baseline,Neutral,Vivant,NonOrg,1459316,2,435,bib.png,Black.jpg,7
300,Think,Neutral,Non vivant,Org,1462434,2,866,raccoon.png,Objects_169_h.jpg,7
301,Baseline,Emotion,Non vivant,NonOrg,1466169,2,550,balloon01b.png,Black.jpg,7
302,No-Think,Neutral,Non vivant,Org,1469537,1,507,hen.png,Objects_082_h.jpg,7
303,Baseline,Neutral,Vivant,Org,1476106,1,578,moose.png,Black.jpg,7
304,Baseline,Neutral,Non vivant,NonOrg,1479641,2,563,alarmclock01.png,Black.jpg,7
305,No-Think,Neutral,Non vivant,Org,1483059,1,520,lion.png,Landscapes_038_h.jpg,7
306,Think,Neutral,Vivant,NonOrg,1486260,1,1040,bicycle.png,Faces_045_h.jpg,7
307,Think,Emotion,Vivant,NonOrg,1490229,1,1456,beachpaddle01a.png,People_233_h.jpg,7
308,Baseline,Emotion,Non vivant,Org,1494330,1,627,squirrel.png,Black.jpg,7
309,Baseline,Emotion,Vivant,NonOrg,1497748,2,647,toytractor01b.png,Black.jpg,7
310,Think,Neutral,Vivant,NonOrg,1501133,1,1781,backfloat.png,People_109_h.jpg,7
311,Think,Emotion,Non vivant,Org,1505751,2,1020,sheep.png,Landscapes_139_h.jpg,7
312,Think,Emotion,Non vivant,NonOrg,1509636,2,695,dice02a.png,Landscapes_025_h.jpg,7
313,Baseline,Neutral,Non vivant,NonOrg,1513287,2,479,armchair01.png,Black.jpg,7
314,Think,Neutral,Non vivant,NonOrg,1519707,2,641,banjo.png,Objects_099_h.jpg,7
315,Think,Neutral,Non vivant,Org,1523008,2,1212,killerwhale.png,Objects_214_h.jpg,7
316,Baseline,Neutral,Non vivant,Org,1527093,1,596,blackbear.png,Black.jpg,7
317,Baseline,Neutral,Non vivant,Org,1530728,1,406,dromedary.png,Black.jpg,7
318,No-Think,Emotion,Non vivant,NonOrg,1534096,2,416,scotchtape.png,Landscapes_007_h.jpg,7
319,Think,Emotion,Non vivant,Org,1537364,2,864,swallow.png,Objects_144_h.jpg,7
320,No-Think,Emotion,Vivant,NonOrg,1541082,2,1631,airhockeypaddle01a.png,Animals_032_h.jpg,7
321,No-Think,Neutral,Vivant,NonOrg,1545467,2,502,amphora.png,People_105_h.jpg,8
322,Think,Neutral,Vivant,NonOrg,1548935,1,787,bicycle.png,Faces_045_h.jpg,8
323,Think,Neutral,Non vivant,NonOrg,1552503,2,675,bandage.png,Objects_204_h.jpg,8
324,No-Think,Emotion,Vivant,Org,1556188,1,754,saintbernard.png,People_222_h.jpg,8
325,Baseline,Neutral,Non vivant,NonOrg,1559756,2,785,alarmclock01.png,Black.jpg,8
326,Baseline,Neutral,Vivant,NonOrg,1563457,2,479,alarmclock02b.png,Black.jpg,8
327,Think,Neutral,Vivant,Org,1566758,1,785,skunk.png,Faces_276_h.jpg,8
328,Baseline,Emotion,Vivant,Org,1576779,1,438,sturgeon.png,Black.jpg,8
329,No-Think,Emotion,Vivant,NonOrg,1580047,2,400,airhockeypaddle01a.png,Animals_032_h.jpg,8
330,No-Think,Neutral,Non vivant,Org,1583248,1,469,lion.png,Landscapes_038_h.jpg,8
331,Think,Emotion,Vivant,NonOrg,1592935,1,1093,beachpaddle01a.png,People_233_h.jpg,8
332,Think,Emotion,Vivant,Org,1596737,1,665,stuffedpuffin.png,People_227_h.jpg,8
333,Think,Neutral,Vivant,Org,1606941,1,842,siamesecat.png,People_146_h.jpg,8
334,Think,Neutral,Non vivant,Org,1610809,2,736,killerwhale.png,Objects_214_h.jpg,8
335,Baseline,Neutral,Vivant,NonOrg,1614227,2,438,bib.png,Black.jpg,8
336,No-Think,Emotion,Non vivant,Org,1617428,1,605,toad.png,Objects_138_h.jpg,8
337,No-Think,Emotion,Vivant,Org,1620963,1,1770,tern.png,People_198_h.jpg,8
338,Think,Emotion,Vivant,NonOrg,1625415,1,810,antenna.png,People_216_h.jpg,8
339,Baseline,Emotion,Vivant,NonOrg,1629066,2,417,toytractor01b.png,Black.jpg,8
340,Baseline,Neutral,Non vivant,Org,1632167,1,460,blackbear.png,Black.jpg,8
341,Think,Emotion,Non vivant,Org,1635302,2,1097,swallow.png,Objects_144_h.jpg,8
342,Think,Neutral,Non vivant,Org,1639237,2,733,raccoon.png,Objects_169_h.jpg,8
343,Baseline,Neutral,Non vivant,Org,1642705,1,403,dromedary.png,Black.jpg,8
344,Baseline,Neutral,Non vivant,NonOrg,1645989,2,410,armchair01.png,Black.jpg,8
345,No-Think,Emotion,Non vivant,Org,1649341,1,532,tortoise01.png,Objects_233_h.jpg,8
346,Baseline,Neutral,Vivant,Org,1652892,1,473,moose.png,Black.jpg,8
347,Baseline,Neutral,Vivant,Org,1656210,1,451,kangaroo.png,Black.jpg,8
348,Baseline,Emotion,Non vivant,NonOrg,1659378,2,495,balloon01b.png,Black.jpg,8
349,Think,Emotion,Non vivant,NonOrg,1662812,2,628,dice02a.png,Landscapes_025_h.jpg,8
350,Think,Neutral,Vivant,NonOrg,1666497,1,825,backfloat.png,People_109_h.jpg,8
351,Think,Emotion,Non vivant,NonOrg,1670049,2,577,scale01b.png,Objects_127_h.jpg,8
352,No-Think,Emotion,Non vivant,NonOrg,1673283,2,651,scotchtape.png,Landscapes_007_h.jpg,8
353,No-Think,Neutral,Non vivant,NonOrg,1676751,2,440,bikehelmet.png,Landscapes_034_h.jpg,8
354,Think,Emotion,Vivant,Org,1680219,1,958,rockbass.png,People_240_h.jpg,8
355,Baseline,Emotion,Vivant,Org,1684137,1,467,tiger02.png,Black.jpg,8
356,Think,Neutral,Non vivant,NonOrg,1687605,2,503,banjo.png,Objects_099_h.jpg,8
357,Think,Emotion,Non vivant,Org,1690957,2,764,sheep.png,Landscapes_139_h.jpg,8
358,No-Think,Neutral,Vivant,Org,1694441,1,1075,caribou01.png,Faces_308_h.jpg,8
359,No-Think,Emotion,Non vivant,NonOrg,1698343,2,727,toaster02.png,Objects_151_h.jpg,8
360,No-Think,Neutral,Vivant,NonOrg,1701978,2,1064,baseball01a.png,Faces_024_h.jpg,8
361,Baseline,Emotion,Non vivant,Org,1705746,1,573,squirrel.png,Black.jpg,8
362,No-Think,Neutral,Non vivant,Org,1709347,1,601,hen.png,Objects_082_h.jpg,8
