,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
254,No-Think,Neutral,Non vivant,NonOrg,1310986,2,570,banjo.png,Objects_099_h.jpg,6
255,Think,Neutral,Non vivant,Org,1314454,2,1122,lion.png,Landscapes_038_h.jpg,6
256,Baseline,Neutral,Non vivant,Org,1318488,1,781,dromedary.png,Black.jpg,6
257,No-Think,Emotion,Non vivant,Org,1321990,1,580,sheep.png,Landscapes_139_h.jpg,7
258,Think,Emotion,Vivant,Org,1325441,1,850,saintbernard.png,People_222_h.jpg,7
259,Baseline,Emotion,Vivant,Org,1329093,1,476,sturgeon.png,Black.jpg,7
260,Baseline,Emotion,Vivant,Org,1347050,1,558,tiger02.png,Black.jpg,7
261,No-Think,Neutral,Non vivant,NonOrg,1350634,2,505,banjo.png,Objects_099_h.jpg,7
262,No-Think,Neutral,Vivant,Org,1354069,1,557,siamesecat.png,People_146_h.jpg,7
263,Think,Neutral,Vivant,Org,1357354,1,591,caribou01.png,Faces_308_h.jpg,7
264,Think,Neutral,Vivant,Org,1367958,1,515,beaver.png,People_155_h.jpg,7
265,Baseline,Emotion,Vivant,NonOrg,1371342,2,1076,binoculars01b.png,Black.jpg,7
266,Baseline,Neutral,Non vivant,NonOrg,1375327,2,805,alarmclock01.png,Black.jpg,7
267,Baseline,Emotion,Vivant,NonOrg,1379112,2,437,toytractor01b.png,Black.jpg,7
268,Baseline,Neutral,Non vivant,NonOrg,1382297,2,425,armchair01.png,Black.jpg,7
269,Think,Neutral,Vivant,NonOrg,1385665,1,587,amphora.png,People_105_h.jpg,7
270,No-Think,Neutral,Vivant,NonOrg,1389099,2,739,bicycle.png,Faces_045_h.jpg,7
271,Think,Neutral,Vivant,NonOrg,1392601,1,1514,baseball01a.png,Faces_024_h.jpg,7
272,Baseline,Emotion,Non vivant,Org,1396969,1,733,squirrel.png,Black.jpg,7
273,No-Think,Neutral,Non vivant,NonOrg,1400437,2,1040,bandage.png,Objects_204_h.jpg,7
274,No-Think,Neutral,Vivant,NonOrg,1404289,2,839,backfloat.png,People_109_h.jpg,7
275,No-Think,Neutral,Non vivant,Org,1408107,1,737,killerwhale.png,Objects_214_h.jpg,7
276,Baseline,Neutral,Non vivant,Org,1411658,1,513,dromedary.png,Black.jpg,7
277,Baseline,Neutral,Vivant,NonOrg,1415109,2,567,alarmclock02b.png,Black.jpg,7
278,Baseline,Emotion,Non vivant,NonOrg,1418527,2,482,balloon01b.png,Black.jpg,7
279,No-Think,Emotion,Non vivant,NonOrg,1421712,2,436,scale01b.png,Objects_127_h.jpg,7
280,Think,Neutral,Non vivant,NonOrg,1424980,2,1874,bikehelmet.png,Landscapes_034_h.jpg,7
281,No-Think,Emotion,Vivant,Org,1429748,1,1057,rockbass.png,People_240_h.jpg,7
282,Think,Neutral,Non vivant,NonOrg,1433500,2,795,usbcable01b.png,Landscapes_048_h.jpg,7
283,No-Think,Emotion,Vivant,Org,1437118,1,855,stuffedpuffin.png,People_227_h.jpg,7
284,Baseline,Neutral,Vivant,Org,1443921,1,401,kangaroo.png,Black.jpg,7
285,Think,Emotion,Non vivant,NonOrg,1453941,2,1084,toaster02.png,Objects_151_h.jpg,7
286,Think,Neutral,Non vivant,Org,1457993,2,1206,lion.png,Landscapes_038_h.jpg,7
287,Think,Emotion,Non vivant,NonOrg,1462161,2,687,scotchtape.png,Landscapes_007_h.jpg,7
288,Baseline,Neutral,Vivant,NonOrg,1465579,2,467,bib.png,Black.jpg,7
289,Think,Emotion,Vivant,NonOrg,1468797,1,932,airhockeypaddle01a.png,Animals_032_h.jpg,7
290,Baseline,Neutral,Vivant,Org,1481119,1,501,moose.png,Black.jpg,7
291,Think,Emotion,Vivant,NonOrg,1487821,1,1682,bassguitar.png,People_208_h.jpg,7
292,Think,Emotion,Non vivant,Org,1492340,2,584,toad.png,Objects_138_h.jpg,7
293,No-Think,Neutral,Non vivant,Org,1495758,1,912,raccoon.png,Objects_169_h.jpg,7
294,Baseline,Emotion,Non vivant,NonOrg,1499559,2,570,aceofdiamond.png,Black.jpg,7
295,Baseline,Neutral,Non vivant,Org,1510430,1,1984,dromedary.png,Black.jpg,8
296,Baseline,Neutral,Vivant,Org,1518566,1,564,kangaroo.png,Black.jpg,8
297,Baseline,Emotion,Vivant,NonOrg,1521951,2,401,binoculars01b.png,Black.jpg,8
298,Think,Neutral,Vivant,NonOrg,1525236,1,792,amphora.png,People_105_h.jpg,8
299,Think,Neutral,Vivant,NonOrg,1528837,1,712,baseball01a.png,Faces_024_h.jpg,8
300,Baseline,Neutral,Non vivant,NonOrg,1532505,2,452,armchair01.png,Black.jpg,8
301,Baseline,Neutral,Vivant,Org,1535940,1,711,moose.png,Black.jpg,8
302,No-Think,Emotion,Vivant,Org,1542676,1,912,stuffedpuffin.png,People_227_h.jpg,8
303,Baseline,Neutral,Vivant,NonOrg,1546577,2,411,alarmclock02b.png,Black.jpg,8
304,No-Think,Neutral,Vivant,Org,1549862,1,1801,skunk.png,Faces_276_h.jpg,8
305,No-Think,Emotion,Non vivant,Org,1559116,1,508,swallow.png,Objects_144_h.jpg,8
