,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
55,Baseline,Neutral,Vivant,NonOrg,409908,2,769,bicycle.png,Black.jpg,2
56,Baseline,Emotion,Vivant,NonOrg,413426,2,1430,antenna.png,Black.jpg,2
57,Think,Emotion,Vivant,Org,417561,1,2966,sturgeon.png,Faces_366_h.jpg,2
58,Think,Neutral,Vivant,Org,429583,1,1883,kangaroo.png,People_138_h.jpg,2
59,Baseline,Neutral,Non vivant,NonOrg,434485,2,1112,bandage.png,Black.jpg,2
60,No-Think,Emotion,Vivant,Org,438570,1,2248,tern.png,People_198_h.jpg,2
61,Think,Emotion,Non vivant,NonOrg,443488,2,1340,balloon01b.png,Landscapes_004_h.jpg,2
62,No-Think,Emotion,Non vivant,NonOrg,447523,2,1341,scotchtape.png,Landscapes_007_h.jpg,2
63,Baseline,Neutral,Vivant,Org,451508,1,794,siamesecat.png,Black.jpg,2
64,Think,Neutral,Vivant,NonOrg,455043,1,2142,alarmclock02b.png,People_048_h.jpg,2
65,Baseline,Emotion,Non vivant,Org,460178,1,1023,swallow.png,Black.jpg,2
66,Think,Emotion,Non vivant,Org,463846,2,1732,cow.png,Landscapes_026_h.jpg,2
67,Baseline,Neutral,Non vivant,NonOrg,468365,2,1049,banjo.png,Black.jpg,2
68,Baseline,Emotion,Non vivant,NonOrg,472349,2,1113,scale01b.png,Black.jpg,2
69,No-Think,Emotion,Vivant,NonOrg,476301,2,2723,airhockeypaddle01a.png,Animals_032_h.jpg,2
70,Baseline,Neutral,Vivant,Org,481870,1,1592,skunk.png,Black.jpg,2
71,No-Think,Neutral,Vivant,Org,486372,1,1032,beaver.png,People_155_h.jpg,2
72,No-Think,Neutral,Non vivant,NonOrg,496709,2,2355,usbcable01b.png,Landscapes_048_h.jpg,2
73,No-Think,Neutral,Non vivant,Org,502061,1,999,lion.png,Landscapes_038_h.jpg,2
74,Baseline,Emotion,Vivant,Org,505929,1,1064,rockbass.png,Black.jpg,2
75,Baseline,Emotion,Vivant,Org,509697,1,2115,stuffedpuffin.png,Black.jpg,2
76,Think,Emotion,Vivant,NonOrg,514733,1,1642,toytractor01b.png,People_129_h.jpg,2
77,No-Think,Neutral,Vivant,Org,519368,1,1646,caribou01.png,Faces_308_h.jpg,2
78,No-Think,Emotion,Vivant,NonOrg,523753,2,1360,bassguitar.png,People_208_h.jpg,2
79,Baseline,Neutral,Vivant,NonOrg,527871,2,1778,backfloat.png,Black.jpg,2
80,Think,Neutral,Non vivant,Org,532540,1,972,dromedary.png,Landscapes_073_h.jpg,2
81,Think,Neutral,Vivant,NonOrg,536341,1,1483,bib.png,Faces_044_h.jpg,2
82,Think,Neutral,Vivant,Org,540676,1,1237,moose.png,Faces_224_h.jpg,2
83,No-Think,Emotion,Non vivant,Org,551380,1,1067,toad.png,Objects_138_h.jpg,2
84,Think,Emotion,Vivant,NonOrg,555265,1,1562,binoculars01b.png,Animals_045_h.jpg,2
85,Baseline,Emotion,Vivant,NonOrg,559600,2,877,antenna.png,Black.jpg,3
86,Think,Emotion,Vivant,Org,578674,1,1388,sturgeon.png,Faces_366_h.jpg,3
87,Baseline,Emotion,Non vivant,Org,582709,1,849,sheep.png,Black.jpg,3
88,Baseline,Neutral,Vivant,Org,586527,1,593,siamesecat.png,Black.jpg,3
89,Think,Neutral,Non vivant,Org,589962,2,1391,blackbear.png,Objects_085_h.jpg,3
90,No-Think,Emotion,Vivant,NonOrg,594297,2,1239,airhockeypaddle01a.png,Animals_032_h.jpg,3
91,Baseline,Neutral,Non vivant,Org,598499,1,527,raccoon.png,Black.jpg,3
92,Baseline,Neutral,Vivant,NonOrg,601767,2,628,bicycle.png,Black.jpg,3
93,Baseline,Emotion,Vivant,Org,605301,1,1387,rockbass.png,Black.jpg,3
94,Think,Emotion,Non vivant,Org,609636,2,1828,cow.png,Landscapes_026_h.jpg,3
95,No-Think,Emotion,Vivant,NonOrg,614338,2,2610,bassguitar.png,People_208_h.jpg,3
96,Think,Neutral,Non vivant,NonOrg,619674,2,1732,alarmclock01.png,Landscapes_049_h.jpg,3
97,No-Think,Neutral,Non vivant,NonOrg,624392,2,1738,usbcable01b.png,Landscapes_048_h.jpg,3
98,No-Think,Emotion,Vivant,Org,628927,1,1816,tern.png,People_198_h.jpg,3
99,Think,Neutral,Vivant,Org,633662,1,2124,moose.png,Faces_224_h.jpg,3
100,Think,Emotion,Vivant,NonOrg,638648,1,1667,toytractor01b.png,People_129_h.jpg,3
101,Baseline,Neutral,Vivant,NonOrg,643016,2,1169,backfloat.png,Black.jpg,3
102,Think,Emotion,Non vivant,NonOrg,647034,2,841,aceofdiamond.png,Objects_109_h.jpg,3
103,Think,Neutral,Vivant,NonOrg,650819,1,2540,alarmclock02b.png,People_048_h.jpg,3
