,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
270,Baseline,Emotion,Non vivant,Org,1323115,1,451,toad.png,Black.jpg,7
271,No-Think,Emotion,Vivant,NonOrg,1326616,2,442,beachpaddle01a.png,People_233_h.jpg,7
272,Baseline,Emotion,Non vivant,NonOrg,1329967,2,413,toaster02.png,Black.jpg,7
273,No-Think,Neutral,Non vivant,NonOrg,1333185,2,475,bandage.png,Objects_204_h.jpg,7
274,No-Think,Emotion,Non vivant,Org,1336570,2,682,swallow.png,Objects_144_h.jpg,7
275,No-Think,Neutral,Non vivant,Org,1339938,1,1472,killerwhale.png,Objects_214_h.jpg,7
276,Think,Neutral,Vivant,NonOrg,1347224,1,455,bib.png,Faces_044_h.jpg,7
277,Baseline,Neutral,Non vivant,NonOrg,1350342,2,517,bikehelmet.png,Black.jpg,7
278,No-Think,Emotion,Vivant,NonOrg,1356845,2,513,antenna.png,People_216_h.jpg,7
279,No-Think,Emotion,Non vivant,NonOrg,1360046,2,548,scale01b.png,Objects_127_h.jpg,7
280,Baseline,Emotion,Non vivant,NonOrg,1366648,2,428,scotchtape.png,Black.jpg,7
281,No-Think,Neutral,Vivant,Org,1373034,1,482,siamesecat.png,People_146_h.jpg,7
282,No-Think,Neutral,Non vivant,NonOrg,1376202,2,479,banjo.png,Objects_099_h.jpg,7
283,No-Think,Emotion,Non vivant,NonOrg,1382405,2,1254,dice02a.png,Landscapes_025_h.jpg,7
284,Baseline,Neutral,Non vivant,NonOrg,1386690,2,413,usbcable01b.png,Black.jpg,7
285,Think,Emotion,Non vivant,NonOrg,1392825,2,502,balloon01b.png,Landscapes_004_h.jpg,7
286,No-Think,Neutral,Vivant,NonOrg,1396293,2,468,backfloat.png,People_109_h.jpg,7
287,Think,Emotion,Vivant,NonOrg,1399678,2,550,binoculars01b.png,Animals_045_h.jpg,7
288,Think,Emotion,Non vivant,Org,1402913,2,902,squirrel.png,Objects_157_h.jpg,7
289,Think,Neutral,Non vivant,NonOrg,1423271,2,409,alarmclock01.png,Landscapes_049_h.jpg,8
290,Baseline,Emotion,Non vivant,NonOrg,1435942,2,520,scotchtape.png,Black.jpg,8
291,Think,Neutral,Vivant,Org,1445463,1,603,kangaroo.png,People_138_h.jpg,8
292,Think,Emotion,Vivant,NonOrg,1451932,1,595,toytractor01b.png,People_129_h.jpg,8
293,Baseline,Emotion,Non vivant,NonOrg,1458534,2,413,toaster02.png,Black.jpg,8
294,Think,Emotion,Non vivant,Org,1464837,2,825,squirrel.png,Objects_157_h.jpg,8
295,Baseline,Emotion,Non vivant,Org,1468538,1,496,tortoise01.png,Black.jpg,8
296,Think,Emotion,Non vivant,Org,1472056,2,818,cow.png,Landscapes_026_h.jpg,8
297,Think,Neutral,Non vivant,Org,1475874,2,706,dromedary.png,Landscapes_073_h.jpg,8
298,Think,Neutral,Vivant,NonOrg,1482610,1,506,alarmclock02b.png,People_048_h.jpg,8
299,Baseline,Emotion,Non vivant,Org,1485978,1,715,toad.png,Black.jpg,8
300,No-Think,Emotion,Vivant,NonOrg,1489580,2,446,antenna.png,People_216_h.jpg,8
301,No-Think,Emotion,Vivant,NonOrg,1492864,2,520,beachpaddle01a.png,People_233_h.jpg,8
302,No-Think,Neutral,Non vivant,NonOrg,1496066,2,563,bandage.png,Objects_204_h.jpg,8
303,No-Think,Neutral,Vivant,NonOrg,1499650,2,918,bicycle.png,Faces_045_h.jpg,8
304,Baseline,Neutral,Vivant,Org,1503585,1,445,beaver.png,Black.jpg,8
305,Think,Emotion,Non vivant,NonOrg,1506970,2,452,balloon01b.png,Landscapes_004_h.jpg,8
306,Think,Emotion,Vivant,Org,1513356,1,695,tiger02.png,People_202_h.jpg,8
307,Think,Neutral,Non vivant,Org,1523476,2,561,blackbear.png,Objects_085_h.jpg,8
308,Think,Emotion,Non vivant,NonOrg,1527044,2,562,aceofdiamond.png,Objects_109_h.jpg,8
309,Baseline,Neutral,Vivant,NonOrg,1533513,2,1042,amphora.png,Black.jpg,8
310,No-Think,Neutral,Vivant,Org,1569678,1,956,skunk.png,Faces_276_h.jpg,8
