,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
56,Think,Neutral,Vivant,Org,316723,1,873,moose.png,Faces_224_h.jpg,2
57,Think,Neutral,Vivant,NonOrg,320592,1,800,bib.png,Faces_044_h.jpg,2
58,Baseline,Neutral,Non vivant,Org,324343,1,1204,killerwhale.png,Black.jpg,2
59,No-Think,Neutral,Non vivant,NonOrg,328495,2,621,bikehelmet.png,Landscapes_034_h.jpg,2
60,Baseline,Emotion,Vivant,Org,332063,1,636,rockbass.png,Black.jpg,2
61,No-Think,Emotion,Non vivant,NonOrg,335497,2,543,scotchtape.png,Landscapes_007_h.jpg,2
62,Think,Emotion,Non vivant,NonOrg,338815,2,1284,aceofdiamond.png,Objects_109_h.jpg,2
63,Baseline,Emotion,Non vivant,NonOrg,342900,2,745,dice02a.png,Black.jpg,2
64,Think,Neutral,Vivant,NonOrg,346318,1,542,alarmclock02b.png,People_048_h.jpg,2
65,Baseline,Emotion,Non vivant,NonOrg,349603,2,722,scale01b.png,Black.jpg,2
66,No-Think,Neutral,Vivant,NonOrg,353138,1,925,baseball01a.png,Faces_024_h.jpg,2
67,No-Think,Emotion,Non vivant,Org,357073,1,950,tortoise01.png,Objects_233_h.jpg,2
68,Think,Emotion,Non vivant,Org,360957,2,1439,cow.png,Landscapes_026_h.jpg,2
69,Baseline,Emotion,Vivant,Org,365042,1,1181,stuffedpuffin.png,Black.jpg,2
70,Think,Neutral,Non vivant,NonOrg,368961,2,1014,armchair01.png,Objects_043_h.jpg,2
71,Baseline,Emotion,Vivant,NonOrg,372912,2,1274,beachpaddle01a.png,Black.jpg,2
72,Think,Emotion,Vivant,NonOrg,376930,2,1767,binoculars01b.png,Animals_045_h.jpg,2
73,No-Think,Emotion,Vivant,Org,381615,1,1593,tern.png,People_198_h.jpg,2
74,Baseline,Emotion,Non vivant,Org,385934,2,1095,swallow.png,Black.jpg,2
75,No-Think,Emotion,Vivant,Org,390052,1,1639,saintbernard.png,People_222_h.jpg,2
76,Think,Neutral,Non vivant,NonOrg,394354,2,778,alarmclock01.png,Landscapes_049_h.jpg,2
77,Think,Emotion,Non vivant,Org,397955,2,1579,squirrel.png,Objects_157_h.jpg,2
78,Think,Neutral,Vivant,Org,402323,1,1299,kangaroo.png,People_138_h.jpg,2
79,No-Think,Neutral,Vivant,Org,406458,1,1535,beaver.png,People_155_h.jpg,2
80,No-Think,Emotion,Non vivant,NonOrg,410944,2,817,toaster02.png,Objects_151_h.jpg,2
81,Baseline,Emotion,Non vivant,Org,414512,1,643,sheep.png,Black.jpg,2
82,No-Think,Neutral,Non vivant,Org,418096,1,661,hen.png,Objects_082_h.jpg,2
83,No-Think,Neutral,Non vivant,NonOrg,421498,2,1257,usbcable01b.png,Landscapes_048_h.jpg,2
84,Think,Emotion,Vivant,NonOrg,425783,1,969,toytractor01b.png,People_129_h.jpg,2
85,Baseline,Neutral,Vivant,NonOrg,429567,2,876,backfloat.png,Black.jpg,2
86,Think,Neutral,Non vivant,Org,433386,2,1407,dromedary.png,Landscapes_073_h.jpg,2
87,Baseline,Neutral,Vivant,Org,437604,1,1634,siamesecat.png,Black.jpg,2
88,Baseline,Neutral,Non vivant,Org,442072,1,950,raccoon.png,Black.jpg,2
89,Think,Emotion,Non vivant,NonOrg,446057,2,1866,balloon01b.png,Landscapes_004_h.jpg,2
90,No-Think,Neutral,Non vivant,Org,450926,1,785,lion.png,Landscapes_038_h.jpg,2
91,Baseline,Emotion,Vivant,NonOrg,454611,2,599,antenna.png,Black.jpg,2
92,No-Think,Neutral,Vivant,Org,457979,1,1104,caribou01.png,Faces_308_h.jpg,2
93,No-Think,Neutral,Vivant,NonOrg,462064,2,879,amphora.png,People_105_h.jpg,2
94,Think,Neutral,Non vivant,Org,465965,2,1381,blackbear.png,Objects_085_h.jpg,2
95,Think,Emotion,Vivant,Org,470350,1,1432,sturgeon.png,Faces_366_h.jpg,2
96,Think,Neutral,Vivant,NonOrg,474752,1,1161,alarmclock02b.png,People_048_h.jpg,3
97,Think,Emotion,Non vivant,NonOrg,500795,2,1025,aceofdiamond.png,Objects_109_h.jpg,3
98,Think,Emotion,Non vivant,NonOrg,507815,2,1190,balloon01b.png,Landscapes_004_h.jpg,3
99,No-Think,Neutral,Vivant,Org,511766,1,848,caribou01.png,Faces_308_h.jpg,3
100,No-Think,Emotion,Vivant,NonOrg,515534,1,918,airhockeypaddle01a.png,Animals_032_h.jpg,3
101,No-Think,Neutral,Non vivant,Org,519486,1,765,hen.png,Objects_082_h.jpg,3
102,No-Think,Neutral,Vivant,NonOrg,523037,2,425,baseball01a.png,Faces_024_h.jpg,3
103,Think,Emotion,Vivant,NonOrg,529573,1,1144,toytractor01b.png,People_129_h.jpg,3
104,No-Think,Emotion,Non vivant,Org,533475,1,979,tortoise01.png,Objects_233_h.jpg,3
105,No-Think,Emotion,Vivant,Org,537393,1,1054,tern.png,People_198_h.jpg,3
106,Baseline,Emotion,Non vivant,Org,541161,1,872,swallow.png,Black.jpg,3
107,Baseline,Emotion,Non vivant,NonOrg,544679,2,730,dice02a.png,Black.jpg,3
108,Baseline,Neutral,Non vivant,NonOrg,548164,2,544,bandage.png,Black.jpg,3
109,Think,Emotion,Non vivant,Org,551715,2,1175,squirrel.png,Objects_157_h.jpg,3
110,No-Think,Neutral,Non vivant,NonOrg,555717,2,1072,usbcable01b.png,Landscapes_048_h.jpg,3
111,Baseline,Neutral,Vivant,NonOrg,562886,2,572,bicycle.png,Black.jpg,3
112,Baseline,Neutral,Vivant,Org,566388,1,534,skunk.png,Black.jpg,3
113,No-Think,Emotion,Vivant,NonOrg,573024,2,413,bassguitar.png,People_208_h.jpg,3
114,Think,Emotion,Vivant,Org,576425,1,1132,sturgeon.png,Faces_366_h.jpg,3
115,Think,Neutral,Vivant,Org,580577,1,722,moose.png,Faces_224_h.jpg,3
116,Think,Neutral,Non vivant,Org,584345,2,665,blackbear.png,Objects_085_h.jpg,3
117,No-Think,Emotion,Vivant,Org,587763,1,487,saintbernard.png,People_222_h.jpg,3
118,No-Think,Emotion,Non vivant,NonOrg,591247,2,782,scotchtape.png,Landscapes_007_h.jpg,3
119,Think,Emotion,Vivant,NonOrg,595049,2,1334,binoculars01b.png,Animals_045_h.jpg,3
120,Think,Neutral,Vivant,Org,599167,1,1481,kangaroo.png,People_138_h.jpg,3
121,No-Think,Neutral,Non vivant,Org,603369,1,1069,lion.png,Landscapes_038_h.jpg,3
122,Think,Neutral,Non vivant,NonOrg,607487,2,1620,alarmclock01.png,Landscapes_049_h.jpg,3
123,Think,Neutral,Non vivant,Org,612056,2,634,dromedary.png,Landscapes_073_h.jpg,3
124,Baseline,Emotion,Vivant,NonOrg,615640,2,888,beachpaddle01a.png,Black.jpg,3
125,Think,Emotion,Vivant,Org,619292,1,1395,tiger02.png,People_202_h.jpg,3
126,No-Think,Neutral,Vivant,NonOrg,623627,2,835,amphora.png,People_105_h.jpg,3
127,Baseline,Neutral,Vivant,Org,627378,1,505,siamesecat.png,Black.jpg,3
128,Baseline,Emotion,Non vivant,Org,630696,1,452,sheep.png,Black.jpg,3
129,Think,Emotion,Non vivant,Org,634181,2,1402,cow.png,Landscapes_026_h.jpg,3
130,Baseline,Emotion,Non vivant,NonOrg,638616,2,964,scale01b.png,Black.jpg,3
