,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
55,No-Think,Emotion,Vivant,NonOrg,339069,2,668,toytractor01b.png,People_129_h.jpg,2
56,Think,Neutral,Non vivant,Org,342670,2,1242,raccoon.png,Objects_169_h.jpg,2
57,Baseline,Emotion,Vivant,Org,346638,1,1128,tern.png,Black.jpg,2
58,Baseline,Emotion,Non vivant,Org,350807,1,1136,toad.png,Black.jpg,2
59,Baseline,Emotion,Non vivant,NonOrg,354708,2,597,scotchtape.png,Black.jpg,2
60,Think,Emotion,Vivant,NonOrg,358276,1,1947,beachpaddle01a.png,People_233_h.jpg,2
61,Baseline,Neutral,Vivant,NonOrg,363078,2,896,amphora.png,Black.jpg,2
62,Baseline,Neutral,Non vivant,NonOrg,366946,2,444,bikehelmet.png,Black.jpg,2
63,No-Think,Neutral,Vivant,NonOrg,370131,2,869,bib.png,Faces_044_h.jpg,2
64,No-Think,Emotion,Vivant,Org,373682,1,1670,tiger02.png,People_202_h.jpg,2
65,Think,Emotion,Vivant,Org,378151,1,1849,rockbass.png,People_240_h.jpg,2
66,Baseline,Neutral,Non vivant,NonOrg,382852,2,666,usbcable01b.png,Black.jpg,2
67,Baseline,Neutral,Non vivant,Org,386170,1,1980,hen.png,Black.jpg,2
68,No-Think,Emotion,Vivant,NonOrg,391189,2,1844,binoculars01b.png,Animals_045_h.jpg,2
69,Think,Emotion,Vivant,NonOrg,395707,1,2117,antenna.png,People_216_h.jpg,2
70,No-Think,Emotion,Non vivant,Org,400893,1,1116,cow.png,Landscapes_026_h.jpg,2
71,No-Think,Neutral,Vivant,Org,404761,1,1107,moose.png,Faces_224_h.jpg,2
72,Think,Neutral,Non vivant,Org,408896,2,1794,killerwhale.png,Objects_214_h.jpg,2
73,Think,Emotion,Non vivant,Org,413564,2,1105,swallow.png,Objects_144_h.jpg,2
74,Baseline,Emotion,Vivant,NonOrg,417466,2,802,bassguitar.png,Black.jpg,2
