,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
195,Baseline,Neutral,Vivant,NonOrg,958115,2,653,amphora.png,Black.jpg,5
196,No-Think,Neutral,Vivant,NonOrg,964818,2,745,alarmclock02b.png,People_048_h.jpg,5
197,No-Think,Emotion,Vivant,Org,971437,1,1483,sturgeon.png,Faces_366_h.jpg,5
198,Baseline,Neutral,Non vivant,Org,975872,1,431,lion.png,Black.jpg,5
199,Think,Emotion,Non vivant,Org,982424,2,1392,sheep.png,Landscapes_139_h.jpg,5
200,Think,Emotion,Vivant,Org,986526,1,1155,rockbass.png,People_240_h.jpg,5
201,No-Think,Neutral,Vivant,Org,990711,1,644,kangaroo.png,People_138_h.jpg,5
202,Think,Neutral,Vivant,Org,994379,1,1153,skunk.png,Faces_276_h.jpg,5
203,Baseline,Emotion,Non vivant,Org,998297,1,529,tortoise01.png,Black.jpg,5
204,Baseline,Neutral,Non vivant,NonOrg,1001699,2,543,bikehelmet.png,Black.jpg,5
205,Baseline,Neutral,Vivant,Org,1005217,1,466,beaver.png,Black.jpg,5
206,Baseline,Neutral,Vivant,NonOrg,1008401,2,555,baseball01a.png,Black.jpg,5
207,No-Think,Neutral,Non vivant,Org,1011752,1,442,dromedary.png,Landscapes_073_h.jpg,5
208,Think,Neutral,Non vivant,Org,1015104,2,975,killerwhale.png,Objects_214_h.jpg,5
209,No-Think,Emotion,Non vivant,Org,1019089,1,1668,squirrel.png,Objects_157_h.jpg,5
210,No-Think,Emotion,Vivant,NonOrg,1026642,2,665,toytractor01b.png,People_129_h.jpg,5
211,Baseline,Emotion,Non vivant,NonOrg,1030260,2,825,toaster02.png,Black.jpg,5
212,No-Think,Neutral,Non vivant,NonOrg,1034061,2,667,armchair01.png,Objects_043_h.jpg,5
213,Baseline,Emotion,Vivant,Org,1037613,1,688,tern.png,Black.jpg,5
214,Think,Emotion,Vivant,NonOrg,1041147,1,1004,beachpaddle01a.png,People_233_h.jpg,5
215,No-Think,Emotion,Non vivant,NonOrg,1044915,2,798,aceofdiamond.png,Objects_109_h.jpg,5
216,No-Think,Neutral,Vivant,Org,1048483,1,552,moose.png,Faces_224_h.jpg,5
217,No-Think,Emotion,Non vivant,Org,1052018,1,779,cow.png,Landscapes_026_h.jpg,5
218,No-Think,Neutral,Non vivant,NonOrg,1055553,2,894,alarmclock01.png,Landscapes_049_h.jpg,5
219,Think,Neutral,Vivant,Org,1059221,1,815,siamesecat.png,People_146_h.jpg,5
220,Think,Neutral,Non vivant,NonOrg,1062889,2,509,banjo.png,Objects_099_h.jpg,5
221,Think,Emotion,Non vivant,NonOrg,1066107,2,2457,dice02a.png,Landscapes_025_h.jpg,5
222,No-Think,Emotion,Vivant,NonOrg,1071476,2,1394,toytractor01b.png,People_129_h.jpg,6
223,Baseline,Emotion,Non vivant,NonOrg,1075744,2,691,scotchtape.png,Black.jpg,6
224,Think,Emotion,Vivant,Org,1079362,1,661,stuffedpuffin.png,People_227_h.jpg,6
225,Think,Emotion,Non vivant,NonOrg,1082663,2,629,scale01b.png,Objects_127_h.jpg,6
226,Think,Emotion,Non vivant,Org,1086232,2,1097,sheep.png,Landscapes_139_h.jpg,6
227,Baseline,Neutral,Vivant,NonOrg,1090200,2,695,baseball01a.png,Black.jpg,6
228,No-Think,Emotion,Non vivant,NonOrg,1097136,2,416,aceofdiamond.png,Objects_109_h.jpg,6
229,Baseline,Neutral,Non vivant,Org,1100237,1,435,hen.png,Black.jpg,6
230,Baseline,Emotion,Vivant,NonOrg,1106823,2,483,bassguitar.png,Black.jpg,6
231,Think,Neutral,Vivant,Org,1110274,1,521,siamesecat.png,People_146_h.jpg,6
232,Think,Emotion,Non vivant,Org,1113659,2,667,swallow.png,Objects_144_h.jpg,6
233,Think,Emotion,Vivant,Org,1117194,1,754,rockbass.png,People_240_h.jpg,6
234,No-Think,Emotion,Vivant,Org,1120845,1,1335,sturgeon.png,Faces_366_h.jpg,6
235,Baseline,Emotion,Vivant,Org,1124880,1,656,tern.png,Black.jpg,6
236,Think,Emotion,Vivant,NonOrg,1128348,1,722,antenna.png,People_216_h.jpg,6
237,No-Think,Emotion,Non vivant,Org,1132066,1,1189,cow.png,Landscapes_026_h.jpg,6
238,Baseline,Neutral,Non vivant,NonOrg,1136184,2,446,usbcable01b.png,Black.jpg,6
239,No-Think,Neutral,Non vivant,Org,1139619,1,444,dromedary.png,Landscapes_073_h.jpg,6
240,No-Think,Neutral,Vivant,Org,1142837,1,814,moose.png,Faces_224_h.jpg,6
241,Think,Emotion,Non vivant,NonOrg,1146522,2,2370,dice02a.png,Landscapes_025_h.jpg,6
242,Think,Neutral,Non vivant,NonOrg,1151940,2,483,bandage.png,Objects_204_h.jpg,6
243,Baseline,Neutral,Vivant,NonOrg,1158393,2,659,amphora.png,Black.jpg,6
244,Think,Neutral,Vivant,NonOrg,1165046,1,825,backfloat.png,People_109_h.jpg,6
245,No-Think,Neutral,Non vivant,NonOrg,1168564,2,720,armchair01.png,Objects_043_h.jpg,6
246,No-Think,Neutral,Vivant,NonOrg,1172232,2,858,bib.png,Faces_044_h.jpg,6
247,Think,Emotion,Vivant,NonOrg,1176100,1,723,beachpaddle01a.png,People_233_h.jpg,6
248,No-Think,Emotion,Non vivant,NonOrg,1179651,2,545,balloon01b.png,Landscapes_004_h.jpg,6
249,Baseline,Emotion,Non vivant,NonOrg,1183153,2,739,toaster02.png,Black.jpg,6
250,No-Think,Emotion,Vivant,Org,1186854,1,493,tiger02.png,People_202_h.jpg,6
251,Baseline,Emotion,Non vivant,Org,1190139,1,1827,toad.png,Black.jpg,6
252,Baseline,Emotion,Vivant,Org,1194991,1,406,saintbernard.png,Black.jpg,6
253,Think,Neutral,Non vivant,NonOrg,1198225,2,455,banjo.png,Objects_099_h.jpg,6
254,Think,Neutral,Non vivant,Org,1201410,2,857,killerwhale.png,Objects_214_h.jpg,6
255,Think,Neutral,Vivant,Org,1205278,1,797,skunk.png,Faces_276_h.jpg,6
256,Baseline,Neutral,Vivant,Org,1209079,1,445,caribou01.png,Black.jpg,6
257,No-Think,Neutral,Non vivant,NonOrg,1212431,2,510,alarmclock01.png,Landscapes_049_h.jpg,6
258,Baseline,Neutral,Non vivant,Org,1215849,1,600,lion.png,Black.jpg,6
259,No-Think,Emotion,Vivant,NonOrg,1219133,2,895,binoculars01b.png,Animals_045_h.jpg,6
260,No-Think,Neutral,Non vivant,Org,1222901,1,431,blackbear.png,Objects_085_h.jpg,6
261,Baseline,Neutral,Vivant,Org,1226269,1,638,beaver.png,Black.jpg,6
262,Think,Neutral,Non vivant,Org,1229671,2,683,raccoon.png,Objects_169_h.jpg,6
263,Think,Neutral,Vivant,NonOrg,1232989,1,998,bicycle.png,Faces_045_h.jpg,6
264,Baseline,Emotion,Vivant,NonOrg,1236907,2,452,airhockeypaddle01a.png,Black.jpg,6
265,No-Think,Neutral,Vivant,NonOrg,1240292,2,409,alarmclock02b.png,People_048_h.jpg,6
266,No-Think,Emotion,Non vivant,Org,1264768,1,654,cow.png,Landscapes_026_h.jpg,7
267,Think,Neutral,Non vivant,Org,1268436,2,592,killerwhale.png,Objects_214_h.jpg,7
268,Think,Neutral,Vivant,NonOrg,1275022,1,930,bicycle.png,Faces_045_h.jpg,7
269,No-Think,Neutral,Vivant,Org,1278840,1,724,moose.png,Faces_224_h.jpg,7
270,Think,Emotion,Vivant,Org,1282391,1,1063,rockbass.png,People_240_h.jpg,7
271,Baseline,Neutral,Vivant,Org,1286193,1,584,beaver.png,Black.jpg,7
272,Baseline,Emotion,Non vivant,NonOrg,1292762,2,421,scotchtape.png,Black.jpg,7
273,Baseline,Neutral,Vivant,Org,1296230,1,1388,caribou01.png,Black.jpg,7
274,Baseline,Emotion,Non vivant,Org,1300615,1,1128,toad.png,Black.jpg,7
275,No-Think,Neutral,Non vivant,Org,1307701,1,536,dromedary.png,Landscapes_073_h.jpg,7
276,Think,Neutral,Non vivant,NonOrg,1311103,2,468,banjo.png,Objects_099_h.jpg,7
277,Baseline,Emotion,Vivant,NonOrg,1314587,2,441,airhockeypaddle01a.png,Black.jpg,7
278,Think,Emotion,Vivant,NonOrg,1317705,1,1028,beachpaddle01a.png,People_233_h.jpg,7
279,Think,Neutral,Vivant,Org,1328009,1,813,siamesecat.png,People_146_h.jpg,7
280,Baseline,Neutral,Non vivant,NonOrg,1331477,2,417,usbcable01b.png,Black.jpg,7
281,No-Think,Neutral,Vivant,NonOrg,1337896,2,1120,alarmclock02b.png,People_048_h.jpg,7
282,No-Think,Neutral,Non vivant,NonOrg,1342015,2,634,alarmclock01.png,Landscapes_049_h.jpg,7
283,No-Think,Neutral,Non vivant,Org,1345316,1,427,blackbear.png,Objects_085_h.jpg,7
284,No-Think,Emotion,Non vivant,NonOrg,1348717,2,595,balloon01b.png,Landscapes_004_h.jpg,7
285,Think,Neutral,Non vivant,NonOrg,1352002,2,427,bandage.png,Objects_204_h.jpg,7
286,Think,Neutral,Vivant,NonOrg,1355286,1,729,backfloat.png,People_109_h.jpg,7
287,Think,Neutral,Vivant,Org,1365440,1,624,skunk.png,Faces_276_h.jpg,7
288,Think,Emotion,Non vivant,NonOrg,1369092,2,554,dice02a.png,Landscapes_025_h.jpg,7
289,Baseline,Emotion,Vivant,Org,1372627,1,684,tern.png,Black.jpg,7
290,Baseline,Neutral,Vivant,NonOrg,1376328,2,443,baseball01a.png,Black.jpg,7
