,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
56,Baseline,Neutral,Vivant,NonOrg,341246,2,528,backfloat.png,Black.jpg,2
57,Think,Neutral,Non vivant,NonOrg,344831,2,1254,bikehelmet.png,Landscapes_034_h.jpg,2
58,Baseline,Emotion,Vivant,Org,348782,1,620,stuffedpuffin.png,Black.jpg,2
59,No-Think,Neutral,Non vivant,NonOrg,352167,2,637,alarmclock01.png,Landscapes_049_h.jpg,2
60,Baseline,Neutral,Non vivant,NonOrg,355685,2,553,bandage.png,Black.jpg,2
61,No-Think,Emotion,Non vivant,Org,359053,1,1086,squirrel.png,Objects_157_h.jpg,2
62,No-Think,Neutral,Non vivant,NonOrg,362855,2,908,armchair01.png,Objects_043_h.jpg,2
63,Think,Emotion,Non vivant,Org,366639,2,2113,tortoise01.png,Objects_233_h.jpg,2
64,Baseline,Emotion,Non vivant,NonOrg,371725,2,824,scale01b.png,Black.jpg,2
65,Think,Neutral,Non vivant,NonOrg,375376,2,1345,usbcable01b.png,Landscapes_048_h.jpg,2
66,Think,Emotion,Vivant,NonOrg,379744,1,1863,bassguitar.png,People_208_h.jpg,2
67,Baseline,Neutral,Vivant,Org,384346,1,594,skunk.png,Black.jpg,2
68,Baseline,Neutral,Non vivant,NonOrg,387664,2,766,banjo.png,Black.jpg,2
69,Think,Emotion,Vivant,Org,391416,1,1240,saintbernard.png,People_222_h.jpg,2
70,Think,Emotion,Non vivant,Org,395651,2,1378,toad.png,Objects_138_h.jpg,2
71,Baseline,Emotion,Non vivant,NonOrg,399719,2,790,dice02a.png,Black.jpg,2
72,Think,Emotion,Vivant,Org,403170,1,1792,tern.png,People_198_h.jpg,2
73,No-Think,Neutral,Vivant,Org,407855,1,1357,kangaroo.png,People_138_h.jpg,2
74,No-Think,Emotion,Non vivant,Org,412190,2,1235,cow.png,Landscapes_026_h.jpg,2
75,No-Think,Neutral,Vivant,NonOrg,420310,2,1836,alarmclock02b.png,People_048_h.jpg,2
76,Baseline,Emotion,Non vivant,Org,424945,1,1119,swallow.png,Black.jpg,2
77,Baseline,Emotion,Vivant,Org,428764,1,713,rockbass.png,Black.jpg,2
78,Think,Neutral,Vivant,NonOrg,432382,1,1158,baseball01a.png,Faces_024_h.jpg,2
79,Baseline,Neutral,Vivant,NonOrg,436283,2,561,bicycle.png,Black.jpg,2
