,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
300,No-Think,Neutral,Non vivant,NonOrg,1797410,2,1158,banjo.png,Objects_099_h.jpg,8
301,Baseline,Emotion,Vivant,NonOrg,1801528,2,573,airhockeypaddle01a.png,Black.jpg,8
302,Baseline,Neutral,Vivant,NonOrg,1815667,2,530,baseball01a.png,Black.jpg,8
303,Think,Emotion,Non vivant,Org,1818968,1,1428,cow.png,Landscapes_026_h.jpg,8
304,Baseline,Neutral,Vivant,Org,1823070,1,413,beaver.png,Black.jpg,8
305,Think,Emotion,Vivant,Org,1826155,1,956,sturgeon.png,Faces_366_h.jpg,8
306,No-Think,Emotion,Non vivant,Org,1829839,1,793,swallow.png,Objects_144_h.jpg,8
307,No-Think,Neutral,Vivant,NonOrg,1833624,2,1702,bicycle.png,Faces_045_h.jpg,8
308,Baseline,Emotion,Non vivant,NonOrg,1838359,2,500,scotchtape.png,Black.jpg,8
309,No-Think,Neutral,Vivant,Org,1862252,1,577,skunk.png,Faces_276_h.jpg,8
